model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
chronos_bolt_small,ecl,aggregate_load,24,42,259546.10512918417,311466.3739629304,31.31898447470767,29.62626323763504,97011302109.616,0.0,15.620453799783718,47718016,123.3173828125
dlinear,ecl,aggregate_load,24,42,27252.61744189874,45516.09165673767,3.248935543811956,3.1992879019279523,2071714599.7045448,36.22056967600008,54.52691025000149,16176,26.3154296875
dlinear,ecl,aggregate_load,24,43,26868.908358963585,45233.1975854237,3.1787057446049496,3.1542428404944416,2046042163.8019805,55.04466702900004,55.63991955000347,16176,26.3154296875
dlinear,ecl,aggregate_load,24,44,27007.33004373676,45360.85746811109,3.2030294564788857,3.1704926859415226,2057607390.24229,38.151725309000085,58.49290204999989,16176,26.3154296875
dlinear,ecl,aggregate_load,24,45,26990.51006728088,45330.12507042327,3.2087358201160794,3.1685181252483803,2054820238.9002163,37.05788757699997,58.12159074999954,16176,26.3154296875
dlinear,ecl,aggregate_load,24,46,27070.56108645745,45382.55927833566,3.2256554122128014,3.177915617351098,2059576686.6516504,36.330504710999776,54.59213315000397,16176,26.3154296875
itransformer,ecl,aggregate_load,24,42,26074.8193467702,38994.08245038822,3.1456150603159374,3.061021726038904,1520538466.1476746,61.33429140199996,60.27222165000694,311448,164.884765625
itransformer,ecl,aggregate_load,24,43,25038.17664031828,38228.50509473166,2.9464897120378137,2.939326315444155,1461418601.7779248,60.5509944850005,56.28469804996712,311448,164.884765625
itransformer,ecl,aggregate_load,24,44,25987.343922186858,39205.00732478927,3.090024826122754,3.050752654887036,1537032599.3367803,62.88649096900008,65.43243750002148,311448,164.884765625
itransformer,ecl,aggregate_load,24,45,26517.79441247518,39793.455558319394,3.184434922616972,3.113024245488168,1583519105.2719405,64.47654720100127,59.62905044998479,311448,164.884765625
itransformer,ecl,aggregate_load,24,46,26795.15561403729,40268.17308087878,3.252888286040624,3.1455847266424524,1621525763.2716105,53.22724672799996,55.47828935000325,311448,164.884765625
patchtst,ecl,aggregate_load,24,42,33029.39462798732,49395.86164968264,4.08836591403328,3.877445638629333,2439951148.114588,85.42290230700019,54.96662195000681,168280,608.609375
