model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
seasonal_naive,ecl,aggregate_load,24,42,338935.8969390353,428088.8171841519,39.976022778172776,38.6883251374621,183260035398.12625,3.57469980372116e-05,0.004098899989912752,0,0.0
xgboost,ecl,aggregate_load,24,42,259541.73621503086,306548.3349215574,31.32497538456861,29.625764541649197,93971881643.17934,3.1107337690009444,7.984405749994039,57396,0.0
xgboost,ecl,aggregate_load,24,43,259573.07226575655,306574.3985685321,31.328438760231414,29.629341440201244,93987861857.65715,2.982705468999484,7.53439244999754,57373,0.0
xgboost,ecl,aggregate_load,24,44,259539.29005283237,306538.41583459656,31.325212662930426,29.625485320948975,93965800382.38405,2.717217828001594,7.271731100081524,57387,0.0
xgboost,ecl,aggregate_load,24,45,259545.20657245922,306575.3623056434,31.325989707684858,29.6261606705861,93988452772.83652,2.7787320489987906,7.5911171499683405,57383,0.0
xgboost,ecl,aggregate_load,24,46,259547.6015710715,306579.4531490946,31.325967999850135,29.626434051145228,93990961093.19789,2.8682309680007165,7.132977199944435,57403,0.0
seasonal_naive,ecl,aggregate_load,96,42,340658.82101319527,428618.3208884466,40.127731872845374,38.958892671963916,183713665001.23138,3.469800140010193e-05,0.004767450081999414,0,0.0
xgboost,ecl,aggregate_load,96,42,261794.13359784128,308905.32781623636,31.628920777995678,29.9396608097608,95422501553.25645,10.523643827000342,25.42004335009551,229430,0.0
xgboost,ecl,aggregate_load,96,43,261789.3212344104,308894.07978600136,31.62801147743421,29.93911045163461,95415552526.84058,10.699300029002188,26.46741379994637,229445,0.0
xgboost,ecl,aggregate_load,96,44,261808.0987892855,308945.22109496273,31.629942777210964,29.941257916194154,95447149637.4154,10.308097570999962,24.83811744987179,229465,0.0
xgboost,ecl,aggregate_load,96,45,261785.12907329158,308877.76042382687,31.627856557237223,29.93863102193834,95405470884.439,10.595505117002176,24.60879885002214,229368,0.0
xgboost,ecl,aggregate_load,96,46,261786.197248801,308912.0101379488,31.6274848150824,29.93875318209524,95426630007.46819,10.29604856199876,24.138923149985203,229409,0.0
seasonal_naive,ecl,aggregate_load,168,42,343510.1715685587,431537.72405627824,40.476061842452026,39.39053540979638,186224807283.67255,3.97850017179735e-05,0.005765599962614942,0,0.0
xgboost,ecl,aggregate_load,168,42,264215.99012540496,311137.737852988,31.958217106925304,30.29781990834584,96806691916.2747,18.369843567998032,43.98367249996227,401418,0.0
xgboost,ecl,aggregate_load,168,43,264226.0118526566,311152.2788052896,31.958997729920252,30.29896910634592,96815740605.72466,18.30935373200191,42.40041699995345,401434,0.0
xgboost,ecl,aggregate_load,168,44,264254.5466314695,311191.69373053714,31.96191073894255,30.30224120804267,96840270246.88043,18.355483119001292,42.47151340005075,401498,0.0
xgboost,ecl,aggregate_load,168,45,264185.2960070265,311079.263116027,31.955235905851765,30.294300193772795,96770307940.81036,17.934189280000282,41.537548350061115,401422,0.0
xgboost,ecl,aggregate_load,168,46,264222.9584260995,311166.86270031054,31.958278139167785,30.298618967931183,96824816442.7539,17.925794095001038,43.1433305999235,401499,0.0
seasonal_naive,etth1,HUFL,24,42,3.312264161981741,5.4443184749380755,46.0687929290298,32.78003995826225,29.640603656552056,3.343400021549314e-05,0.003682349961309228,0,0.0
xgboost,etth1,HUFL,24,42,3.8901301961352055,5.3988092795264935,57.45811792632687,38.4989291421309,29.147141636701374,2.438818184997217,7.018872499975259,57407,0.0
xgboost,etth1,HUFL,24,43,3.900373284000311,5.408662522882076,57.55757191990364,38.60030053435502,29.2536302864291,2.3361784990011074,6.097017350111855,57401,0.0
xgboost,etth1,HUFL,24,44,3.8900884866613135,5.405693410848823,57.48962672233001,38.498516361581416,29.221521252094377,2.283022589999746,5.732897699999739,57424,0.0
xgboost,etth1,HUFL,24,45,3.8834418508898554,5.392371101630193,57.344851099720884,38.432737493857886,29.077666097696422,2.4029964879991894,5.811515200002759,57430,0.0
xgboost,etth1,HUFL,24,46,3.8876409204542055,5.404771650566116,57.48549877394195,38.474293861760785,29.211556594763174,2.236798113997793,6.064160499954596,57425,0.0
seasonal_naive,etth1,HUFL,96,42,3.924425973031994,6.407727834953282,51.69752748302952,38.80075895930466,41.058976006835074,3.536300209816545e-05,0.005154700011189561,0,0.0
xgboost,etth1,HUFL,96,42,4.209956724427755,5.866395491905097,61.173864514701,41.623798541783174,34.41459606744444,8.39147369100101,24.860060500031977,229781,0.0
xgboost,etth1,HUFL,96,43,4.217451409656444,5.87324807951386,61.252319078464836,41.69789841703437,34.495043003513246,8.818216433999623,24.417122849990847,229749,0.0
xgboost,etth1,HUFL,96,44,4.212369223366966,5.865365326904417,61.22286705091804,41.64765089381456,34.40251041805256,8.632304277998628,24.468505100048787,229770,0.0
xgboost,etth1,HUFL,96,45,4.20233885564738,5.850709727759342,61.17234438025502,41.54848075203198,34.230804318497796,8.899797787998978,25.053350400048657,229737,0.0
xgboost,etth1,HUFL,96,46,4.211596112051519,5.868327749650258,61.23258634830019,41.640007150244045,34.43727057731526,8.445801177000249,23.54780705009034,229755,0.0
seasonal_naive,etth1,HUFL,168,42,4.180376351874045,6.698292580284449,54.20220365940088,41.263909140505135,44.86712349109371,3.6162000469630584e-05,0.005324900121195242,0,0.0
xgboost,etth1,HUFL,168,42,4.269439738341192,5.987241204504461,61.49659110115275,42.1430413471732,35.84705724091604,14.773844892999477,40.600804800124024,401902,0.0
xgboost,etth1,HUFL,168,43,4.27771793641123,5.990166550924303,61.604706808144726,42.22475428023389,35.882095307812364,14.847892010999203,44.21471390014631,401909,0.0
xgboost,etth1,HUFL,168,44,4.2700725466139335,5.982071808388515,61.5308010603001,42.14928770895307,35.78518312071663,14.7636168680001,41.711036850028904,401922,0.0
xgboost,etth1,HUFL,168,45,4.262756369730158,5.969269407102278,61.50854418785824,42.07707075220642,35.632177254567175,14.800240563999978,44.56337914998585,401863,0.0
