origin,dataset,target,horizon,seed,model,abs_error
1970-01-01 00:00:00.000000054,ecl,aggregate_load,24,46,itransformer,299606.7971019946
1970-01-01 00:00:00.000000055,ecl,aggregate_load,24,46,itransformer,296127.70584742655
1970-01-01 00:00:00.000000056,ecl,aggregate_load,24,46,itransformer,274778.1912745405
1970-01-01 00:00:00.000000057,ecl,aggregate_load,24,46,itransformer,285669.05793177633
1970-01-01 00:00:00.000000058,ecl,aggregate_load,24,46,itransformer,261084.9374954437
1970-01-01 00:00:00.000000059,ecl,aggregate_load,24,46,itransformer,307747.32164894615
1970-01-01 00:00:00.000000060,ecl,aggregate_load,24,46,itransformer,289556.72145929723
1970-01-01 00:00:00.000000061,ecl,aggregate_load,24,46,itransformer,281175.6437830918
1970-01-01 00:00:00.000000062,ecl,aggregate_load,24,46,itransformer,295784.58737433475
1970-01-01 00:00:00.000000063,ecl,aggregate_load,24,46,itransformer,257678.40342889962
1970-01-01 00:00:00.000000064,ecl,aggregate_load,24,46,itransformer,304506.2265726913
1970-01-01 00:00:00.000000065,ecl,aggregate_load,24,46,itransformer,308743.68206743593
1970-01-01 00:00:00.000000066,ecl,aggregate_load,24,46,itransformer,301916.85559037345
1970-01-01 00:00:00.000000067,ecl,aggregate_load,24,46,itransformer,284313.1941048497
1970-01-01 00:00:00.000000068,ecl,aggregate_load,24,46,itransformer,273538.168063293
1970-01-01 00:00:00.000000069,ecl,aggregate_load,24,46,itransformer,253374.02797695732
1970-01-01 00:00:00.000000070,ecl,aggregate_load,24,46,itransformer,252358.7308114077
1970-01-01 00:00:00.000000071,ecl,aggregate_load,24,46,itransformer,243032.7018696372
1970-01-01 00:00:00.000000072,ecl,aggregate_load,24,46,itransformer,238670.25181897657
1970-01-01 00:00:00.000000073,ecl,aggregate_load,24,46,itransformer,245303.7068910684
1970-01-01 00:00:00.000000074,ecl,aggregate_load,24,46,itransformer,231942.0469692222
1970-01-01 00:00:00.000000075,ecl,aggregate_load,24,46,itransformer,242602.39725394966
1970-01-01 00:00:00.000000076,ecl,aggregate_load,24,46,itransformer,235014.5911571577
1970-01-01 00:00:00.000000077,ecl,aggregate_load,24,46,itransformer,244601.0989475432
1970-01-01 00:00:00.000000078,ecl,aggregate_load,24,46,itransformer,231772.85742733075
1970-01-01 00:00:00.000000079,ecl,aggregate_load,24,46,itransformer,244797.46393443504
1970-01-01 00:00:00.000000080,ecl,aggregate_load,24,46,itransformer,259767.48262484538
1970-01-01 00:00:00.000000081,ecl,aggregate_load,24,46,itransformer,273660.5500393906
1970-01-01 00:00:00.000000082,ecl,aggregate_load,24,46,itransformer,261836.89414574546
1970-01-01 00:00:00.000000083,ecl,aggregate_load,24,46,itransformer,262166.431978294
1970-01-01 00:00:00.000000084,ecl,aggregate_load,24,46,itransformer,230851.95132683704
1970-01-01 00:00:00.000000085,ecl,aggregate_load,24,46,itransformer,204012.30718370504
1970-01-01 00:00:00.000000086,ecl,aggregate_load,24,46,itransformer,198213.37498157783
1970-01-01 00:00:00.000000087,ecl,aggregate_load,24,46,itransformer,232460.6905737388
1970-01-01 00:00:00.000000088,ecl,aggregate_load,24,46,itransformer,262846.8037234317
1970-01-01 00:00:00.000000089,ecl,aggregate_load,24,46,itransformer,267308.7620238206
1970-01-01 00:00:00.000000090,ecl,aggregate_load,24,46,itransformer,246502.60105757596
1970-01-01 00:00:00.000000091,ecl,aggregate_load,24,46,itransformer,221535.9045475479
1970-01-01 00:00:00.000000092,ecl,aggregate_load,24,46,itransformer,220771.14320901292
1970-01-01 00:00:00.000000093,ecl,aggregate_load,24,46,itransformer,202964.16804454758
1970-01-01 00:00:00.000000094,ecl,aggregate_load,24,46,itransformer,197147.6092094825
1970-01-01 00:00:00.000000095,ecl,aggregate_load,24,46,itransformer,188044.6344047945
1970-01-01 00:00:00.000000096,ecl,aggregate_load,24,46,itransformer,168991.52286859677
1970-01-01 00:00:00.000000097,ecl,aggregate_load,24,46,itransformer,131561.96341352636
1970-01-01 00:00:00.000000098,ecl,aggregate_load,24,46,itransformer,130808.28629014404
1970-01-01 00:00:00.000000099,ecl,aggregate_load,24,46,itransformer,140736.18100281557
1970-01-01 00:00:00.000000100,ecl,aggregate_load,24,46,itransformer,128868.9291383333
1970-01-01 00:00:00.000000101,ecl,aggregate_load,24,46,itransformer,147254.0442628889
1970-01-01 00:00:00.000000102,ecl,aggregate_load,24,46,itransformer,174572.36382960057
1970-01-01 00:00:00.000000103,ecl,aggregate_load,24,46,itransformer,177405.07837151323
1970-01-01 00:00:00.000000104,ecl,aggregate_load,24,46,itransformer,149776.33882700422
1970-01-01 00:00:00.000000105,ecl,aggregate_load,24,46,itransformer,192355.43045375348
1970-01-01 00:00:00.000000106,ecl,aggregate_load,24,46,itransformer,201523.97027346506
1970-01-01 00:00:00.000000107,ecl,aggregate_load,24,46,itransformer,213783.90401269437
1970-01-01 00:00:00.000000108,ecl,aggregate_load,24,46,itransformer,248813.22029100964
1970-01-01 00:00:00.000000110,ecl,aggregate_load,24,46,itransformer,216485.56858000447
