origin,dataset,target,horizon,seed,model,abs_error
2014-05-26 18:00:00,ecl,aggregate_load,24,44,patchtst,5243.031770064386
2014-05-26 19:00:00,ecl,aggregate_load,24,44,patchtst,6870.163807292731
2014-05-26 20:00:00,ecl,aggregate_load,24,44,patchtst,11314.469052288869
2014-05-26 21:00:00,ecl,aggregate_load,24,44,patchtst,11133.142963379958
2014-05-26 22:00:00,ecl,aggregate_load,24,44,patchtst,9967.269473587598
2014-05-26 23:00:00,ecl,aggregate_load,24,44,patchtst,9967.996287993357
2014-05-27 00:00:00,ecl,aggregate_load,24,44,patchtst,15578.752673272365
2014-05-27 01:00:00,ecl,aggregate_load,24,44,patchtst,23381.50886848605
2014-05-27 02:00:00,ecl,aggregate_load,24,44,patchtst,24568.820618434856
2014-05-27 03:00:00,ecl,aggregate_load,24,44,patchtst,22386.82861213158
2014-05-27 04:00:00,ecl,aggregate_load,24,44,patchtst,22071.1360453528
2014-05-27 05:00:00,ecl,aggregate_load,24,44,patchtst,21183.193805334693
2014-05-27 06:00:00,ecl,aggregate_load,24,44,patchtst,19730.3565198055
2014-05-27 07:00:00,ecl,aggregate_load,24,44,patchtst,16047.09046454464
2014-05-27 08:00:00,ecl,aggregate_load,24,44,patchtst,12124.049540620144
2014-05-27 09:00:00,ecl,aggregate_load,24,44,patchtst,7582.084744852509
2014-05-27 10:00:00,ecl,aggregate_load,24,44,patchtst,10857.826818606833
2014-05-27 11:00:00,ecl,aggregate_load,24,44,patchtst,13198.715935933731
2014-05-27 12:00:00,ecl,aggregate_load,24,44,patchtst,16079.695690459614
2014-05-27 13:00:00,ecl,aggregate_load,24,44,patchtst,18515.10951690141
2014-05-27 14:00:00,ecl,aggregate_load,24,44,patchtst,14746.108514943424
2014-05-27 15:00:00,ecl,aggregate_load,24,44,patchtst,13375.56378766641
2014-05-27 16:00:00,ecl,aggregate_load,24,44,patchtst,12591.216935629078
2014-05-27 17:00:00,ecl,aggregate_load,24,44,patchtst,16847.451878257634
2014-05-27 18:00:00,ecl,aggregate_load,24,44,patchtst,10030.598684761042
2014-05-27 19:00:00,ecl,aggregate_load,24,44,patchtst,13628.915706982394
2014-05-27 20:00:00,ecl,aggregate_load,24,44,patchtst,13267.574458113531
2014-05-27 21:00:00,ecl,aggregate_load,24,44,patchtst,13711.899683119089
2014-05-27 22:00:00,ecl,aggregate_load,24,44,patchtst,15151.52265443199
2014-05-27 23:00:00,ecl,aggregate_load,24,44,patchtst,11830.58700665939
2014-05-28 00:00:00,ecl,aggregate_load,24,44,patchtst,17616.792152759976
