origin,dataset,target,horizon,seed,model,abs_error
2014-05-26 19:00:00,ecl,aggregate_load,24,46,xgboost,16499.03788910549
2014-05-26 20:00:00,ecl,aggregate_load,24,46,xgboost,14493.893421250898
2014-05-26 21:00:00,ecl,aggregate_load,24,46,xgboost,16354.444046027167
2014-05-26 22:00:00,ecl,aggregate_load,24,46,xgboost,12467.889547099563
2014-05-26 23:00:00,ecl,aggregate_load,24,46,xgboost,13666.570425856946
2014-05-27 00:00:00,ecl,aggregate_load,24,46,xgboost,12913.87176501359
2014-05-27 01:00:00,ecl,aggregate_load,24,46,xgboost,12554.467804753442
2014-05-27 02:00:00,ecl,aggregate_load,24,46,xgboost,12885.819014161132
2014-05-27 03:00:00,ecl,aggregate_load,24,46,xgboost,11535.050013612605
2014-05-27 04:00:00,ecl,aggregate_load,24,46,xgboost,13574.887884924421
2014-05-27 05:00:00,ecl,aggregate_load,24,46,xgboost,11120.128486158195
2014-05-27 06:00:00,ecl,aggregate_load,24,46,xgboost,11711.104128464742
2014-05-27 07:00:00,ecl,aggregate_load,24,46,xgboost,10582.943180356988
2014-05-27 08:00:00,ecl,aggregate_load,24,46,xgboost,7998.699772592983
2014-05-27 09:00:00,ecl,aggregate_load,24,46,xgboost,10439.174280749843
2014-05-27 10:00:00,ecl,aggregate_load,24,46,xgboost,12528.981179035509
2014-05-27 11:00:00,ecl,aggregate_load,24,46,xgboost,12147.846053569263
2014-05-27 12:00:00,ecl,aggregate_load,24,46,xgboost,9941.78626600545
2014-05-27 13:00:00,ecl,aggregate_load,24,46,xgboost,12368.210622966855
2014-05-27 14:00:00,ecl,aggregate_load,24,46,xgboost,13981.215422228264
2014-05-27 15:00:00,ecl,aggregate_load,24,46,xgboost,13889.484599571313
2014-05-27 16:00:00,ecl,aggregate_load,24,46,xgboost,16230.715394420424
2014-05-27 17:00:00,ecl,aggregate_load,24,46,xgboost,16001.520090131524
2014-05-27 18:00:00,ecl,aggregate_load,24,46,xgboost,15207.927065248286
2014-05-27 19:00:00,ecl,aggregate_load,24,46,xgboost,18775.734578814216
2014-05-27 20:00:00,ecl,aggregate_load,24,46,xgboost,16368.544269563017
2014-05-27 21:00:00,ecl,aggregate_load,24,46,xgboost,14506.520629994544
2014-05-27 22:00:00,ecl,aggregate_load,24,46,xgboost,15002.787162879597
2014-05-27 23:00:00,ecl,aggregate_load,24,46,xgboost,12710.118437914547
2014-05-28 00:00:00,ecl,aggregate_load,24,46,xgboost,14785.90213186651
2014-05-28 01:00:00,ecl,aggregate_load,24,46,xgboost,14983.914957541661
2014-05-28 02:00:00,ecl,aggregate_load,24,46,xgboost,14496.029662026836
2014-05-28 03:00:00,ecl,aggregate_load,24,46,xgboost,12880.714925366463
2014-05-28 04:00:00,ecl,aggregate_load,24,46,xgboost,12855.737285149997
2014-05-28 05:00:00,ecl,aggregate_load,24,46,xgboost,12101.890484870955
2014-05-28 06:00:00,ecl,aggregate_load,24,46,xgboost,15244.525504988786
2014-05-28 07:00:00,ecl,aggregate_load,24,46,xgboost,15789.883116091152
2014-05-28 08:00:00,ecl,aggregate_load,24,46,xgboost,12013.046230022932
2014-05-28 09:00:00,ecl,aggregate_load,24,46,xgboost,15947.962329930704
2014-05-28 10:00:00,ecl,aggregate_load,24,46,xgboost,15541.372081904361
2014-05-28 11:00:00,ecl,aggregate_load,24,46,xgboost,17124.65341693266
2014-05-28 12:00:00,ecl,aggregate_load,24,46,xgboost,18978.032769527224
2014-05-28 13:00:00,ecl,aggregate_load,24,46,xgboost,18904.333589441438
2014-05-28 14:00:00,ecl,aggregate_load,24,46,xgboost,22784.39184819063
2014-05-28 15:00:00,ecl,aggregate_load,24,46,xgboost,19424.931476078094
2014-05-28 16:00:00,ecl,aggregate_load,24,46,xgboost,20627.506479447977
2014-05-28 17:00:00,ecl,aggregate_load,24,46,xgboost,22297.91027738951
2014-05-28 18:00:00,ecl,aggregate_load,24,46,xgboost,23207.962159097384
