origin,dataset,target,horizon,seed,model,abs_error
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,43,dlinear,325441.04342267493
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,43,dlinear,272036.3985969211
1970-01-01 00:00:00.000000056,ecl,aggregate_load,96,43,dlinear,278313.402987835
1970-01-01 00:00:00.000000057,ecl,aggregate_load,96,43,dlinear,263462.36684874987
1970-01-01 00:00:00.000000058,ecl,aggregate_load,96,43,dlinear,258626.33807433085
1970-01-01 00:00:00.000000059,ecl,aggregate_load,96,43,dlinear,300239.92599595815
1970-01-01 00:00:00.000000060,ecl,aggregate_load,96,43,dlinear,286079.43897484516
1970-01-01 00:00:00.000000061,ecl,aggregate_load,96,43,dlinear,283938.72156429465
1970-01-01 00:00:00.000000062,ecl,aggregate_load,96,43,dlinear,285668.2992758023
1970-01-01 00:00:00.000000063,ecl,aggregate_load,96,43,dlinear,279419.90904332726
1970-01-01 00:00:00.000000064,ecl,aggregate_load,96,43,dlinear,299316.4873839563
1970-01-01 00:00:00.000000065,ecl,aggregate_load,96,43,dlinear,301607.36558094696
1970-01-01 00:00:00.000000066,ecl,aggregate_load,96,43,dlinear,295732.2676216042
1970-01-01 00:00:00.000000067,ecl,aggregate_load,96,43,dlinear,279723.46619013656
1970-01-01 00:00:00.000000068,ecl,aggregate_load,96,43,dlinear,268517.869451604
1970-01-01 00:00:00.000000069,ecl,aggregate_load,96,43,dlinear,249847.9737417721
1970-01-01 00:00:00.000000070,ecl,aggregate_load,96,43,dlinear,248323.85289527877
1970-01-01 00:00:00.000000071,ecl,aggregate_load,96,43,dlinear,242005.16172935133
1970-01-01 00:00:00.000000072,ecl,aggregate_load,96,43,dlinear,246690.73394771977
1970-01-01 00:00:00.000000073,ecl,aggregate_load,96,43,dlinear,235029.0303868412
1970-01-01 00:00:00.000000074,ecl,aggregate_load,96,43,dlinear,232537.2826498737
1970-01-01 00:00:00.000000075,ecl,aggregate_load,96,43,dlinear,230363.30618161138
1970-01-01 00:00:00.000000076,ecl,aggregate_load,96,43,dlinear,234675.37998379167
1970-01-01 00:00:00.000000077,ecl,aggregate_load,96,43,dlinear,229418.33134020015
1970-01-01 00:00:00.000000078,ecl,aggregate_load,96,43,dlinear,235790.1779810055
1970-01-01 00:00:00.000000079,ecl,aggregate_load,96,43,dlinear,263662.22020309203
1970-01-01 00:00:00.000000080,ecl,aggregate_load,96,43,dlinear,262825.0756687222
1970-01-01 00:00:00.000000081,ecl,aggregate_load,96,43,dlinear,265764.32823722117
1970-01-01 00:00:00.000000082,ecl,aggregate_load,96,43,dlinear,255437.38638595442
1970-01-01 00:00:00.000000083,ecl,aggregate_load,96,43,dlinear,231839.18375532608
1970-01-01 00:00:00.000000084,ecl,aggregate_load,96,43,dlinear,204635.92383770138
1970-01-01 00:00:00.000000085,ecl,aggregate_load,96,43,dlinear,210802.0429355881
1970-01-01 00:00:00.000000086,ecl,aggregate_load,96,43,dlinear,223125.97614604377
1970-01-01 00:00:00.000000087,ecl,aggregate_load,96,43,dlinear,238766.47201461878
1970-01-01 00:00:00.000000088,ecl,aggregate_load,96,43,dlinear,239659.60936006828
1970-01-01 00:00:00.000000089,ecl,aggregate_load,96,43,dlinear,231160.9570512441
1970-01-01 00:00:00.000000090,ecl,aggregate_load,96,43,dlinear,214721.16095798425
1970-01-01 00:00:00.000000091,ecl,aggregate_load,96,43,dlinear,206948.86567862015
1970-01-01 00:00:00.000000092,ecl,aggregate_load,96,43,dlinear,191183.8617269245
1970-01-01 00:00:00.000000093,ecl,aggregate_load,96,43,dlinear,175460.0007934447
1970-01-01 00:00:00.000000094,ecl,aggregate_load,96,43,dlinear,164070.66566394936
1970-01-01 00:00:00.000000095,ecl,aggregate_load,96,43,dlinear,153284.77770184778
1970-01-01 00:00:00.000000096,ecl,aggregate_load,96,43,dlinear,140540.69982285917
1970-01-01 00:00:00.000000097,ecl,aggregate_load,96,43,dlinear,133815.30914309376
1970-01-01 00:00:00.000000098,ecl,aggregate_load,96,43,dlinear,137199.52444666918
1970-01-01 00:00:00.000000099,ecl,aggregate_load,96,43,dlinear,145405.0029415516
1970-01-01 00:00:00.000000100,ecl,aggregate_load,96,43,dlinear,147324.36180656776
