origin,dataset,target,horizon,seed,model,abs_error
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,273896.7640453435
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,279183.4128237982
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,273412.67951781297
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,272002.20205181284
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,275072.8172940362
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,278576.76974636334
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,281129.75824926933
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,282739.8743326391
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,285649.9740532827
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,287454.7064897441
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,280738.4393529516
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,279511.5462678615
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,279193.6415582606
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,278604.9662610181
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,281763.7045639153
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,279130.83509862726
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,278777.07863357663
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,278560.3953960409
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,282887.18364245846
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,286989.7933079435
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,290863.0156291325
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,294084.6635158007
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,288356.2458302052
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,291282.3215936239
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,295105.2280198578
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,303677.1300137986
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,310425.9619295427
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,298902.3106617536
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,306768.0235564713
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,309438.99810932943
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,325328.0413218699
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,331536.84659602
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,309180.89590041974
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,315482.60331955686
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,322115.4593397119
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,310100.0480017182
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,312691.4761437148
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,302740.52254212747
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,302323.7858142221
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,309695.18521570653
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,312327.6521760894
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,295202.66794095107
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,293275.5448884621
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,301244.8328087339
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,289014.45423346426
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,284025.13930474553
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,289546.7103017425
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,293187.65269006026
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,281755.11989217263
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,273629.1735511553
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,278495.09341572126
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,265146.68029601715
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,257004.9798885573
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,250887.4051102282
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,248624.36133180567
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,250592.12544952208
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,251155.89099544627
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,253275.19218359617
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,261327.49568717435
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,264265.97796965536
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,272900.80039545725
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,276864.22836092155
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,288052.14152574545
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,sarima,296907.07215447555
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,306049.24451994075
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,295208.54261813825
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,279662.24062763405
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,272191.52843120176
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,268015.27371177747
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,274072.30917236186
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,263935.91731078655
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,255002.24966331982
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,250004.4591356997
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,246084.59891637278
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,250542.5680852613
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,254804.3481165809
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,251192.2562519213
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,251453.18024290938
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,254360.43253609678
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,249619.4350887946
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,246065.69399436997
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,243588.3565351524
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,241660.10022891275
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,241757.45970379715
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,248842.04089593692
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,244132.51828015005
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,240089.15471492065
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,239741.5348349287
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,sarima,240247.04935437697
