origin,dataset,target,horizon,seed,model,abs_error
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,305053.2903645833
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,312837.9010416667
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,301931.1796875
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,296282.7493489583
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,309681.400390625
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,320732.595703125
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,322263.34765625
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,318406.8990885417
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,323331.8424479167
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,323978.4225260417
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,313625.21875
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,313173.919921875
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,308583.1998697917
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,313817.5774739583
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,316956.2923177083
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,308805.4095052083
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,309416.001953125
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,304200.34765625
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,312000.1380208333
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,323334.2122395833
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,333055.2005208333
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,timesfm,333070.4427083333
