origin,dataset,target,horizon,seed,model,abs_error
2017-10-24 00:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.796746083136116
2017-10-24 01:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.6892589665949345
2017-10-24 02:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.6889441944658756
2017-10-24 03:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7873694437245526
2017-10-24 04:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.696159271434659
2017-10-24 05:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.700017880293585
2017-10-24 06:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7642032385227226
2017-10-24 07:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7710232360377196
2017-10-24 08:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.6736342646181583
2017-10-24 09:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.403941439553386
2017-10-24 10:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.3081023481984935
2017-10-24 11:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.2476025349682285
2017-10-24 12:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.3069717669416043
2017-10-24 13:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.4085900682423795
2017-10-24 14:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.59648479574493
2017-10-24 15:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.6677857589508807
2017-10-24 16:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.77532101262893
2017-10-24 17:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.775528701643149
2017-10-24 18:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.703009556091967
2017-10-24 19:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.730477555521897
2017-10-24 20:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.749674173692862
2017-10-24 21:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.784371910705453
2017-10-24 22:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8111580138405166
2017-10-24 23:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.782995239254974
2017-10-25 00:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.804250817568529
2017-10-25 01:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.811055496689819
2017-10-25 02:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.796786357604322
2017-10-25 03:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.842277967858882
2017-10-25 04:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8244554354321387
2017-10-25 05:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.824779474664302
2017-10-25 06:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.783391056671029
2017-10-25 07:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8516250632348514
2017-10-25 08:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.835861666926316
2017-10-25 09:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.857712099594729
2017-10-25 10:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.859661146643616
2017-10-25 11:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.932706155592487
2017-10-25 12:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.881192572414875
2017-10-25 13:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.903982131608895
2017-10-25 14:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.9451045028510547
2017-10-25 15:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.956623566647371
2017-10-25 16:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.923578248492309
2017-10-25 17:00:00,etth1,HUFL,168,42,chronos_bolt_small,3.278276420065335
2017-10-25 18:00:00,etth1,HUFL,168,42,chronos_bolt_small,3.250550238149507
2017-10-25 19:00:00,etth1,HUFL,168,42,chronos_bolt_small,3.1739955565759113
2017-10-25 20:00:00,etth1,HUFL,168,42,chronos_bolt_small,3.152585959860257
2017-10-25 21:00:00,etth1,HUFL,168,42,chronos_bolt_small,3.0888731621560597
2017-10-25 22:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.892181946408181
2017-10-25 23:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.726687558350109
2017-10-26 00:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.804307902852694
2017-10-26 01:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.909346948067347
2017-10-26 02:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7451598459766027
2017-10-26 03:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7946373380365825
2017-10-26 04:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7318352574393865
2017-10-26 05:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.810497734518278
2017-10-26 06:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8520316836379824
2017-10-26 07:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8404905767667863
2017-10-26 08:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8307364838463918
2017-10-26 09:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.772501935561498
2017-10-26 10:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.935887349503381
2017-10-26 11:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.878999698729742
2017-10-26 12:00:00,etth1,HUFL,168,42,chronos_bolt_small,3.0924241847935177
2017-10-26 13:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7143713470016206
2017-10-26 14:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8473743249972663
2017-10-26 15:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.80011762820539
2017-10-26 16:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8048453011683057
2017-10-26 17:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7616038629341695
2017-10-26 18:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.6756897989128317
2017-10-26 19:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.716075584469807
2017-10-26 20:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7260257312584493
2017-10-26 21:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.751017743100723
2017-10-26 22:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.769546766543672
2017-10-26 23:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.8387091551863013
2017-10-27 00:00:00,etth1,HUFL,168,42,chronos_bolt_small,2.7856998466664837
