origin,dataset,target,horizon,seed,model,abs_error
2017-10-24 00:00:00,etth1,HUFL,168,42,timesfm,3.4348054664830365
2017-10-24 01:00:00,etth1,HUFL,168,42,timesfm,3.476671810128859
2017-10-24 02:00:00,etth1,HUFL,168,42,timesfm,3.452346146993694
2017-10-24 03:00:00,etth1,HUFL,168,42,timesfm,3.408613011418354
2017-10-24 04:00:00,etth1,HUFL,168,42,timesfm,3.206074237291302
2017-10-24 05:00:00,etth1,HUFL,168,42,timesfm,3.204345911209072
2017-10-24 06:00:00,etth1,HUFL,168,42,timesfm,3.1411229593768004
2017-10-24 07:00:00,etth1,HUFL,168,42,timesfm,3.1759520465774194
2017-10-24 08:00:00,etth1,HUFL,168,42,timesfm,3.0845750550783815
2017-10-24 09:00:00,etth1,HUFL,168,42,timesfm,2.715187529545455
2017-10-24 10:00:00,etth1,HUFL,168,42,timesfm,2.6846395867566266
2017-10-24 11:00:00,etth1,HUFL,168,42,timesfm,2.77639737246292
2017-10-24 12:00:00,etth1,HUFL,168,42,timesfm,2.9276029377111366
2017-10-24 13:00:00,etth1,HUFL,168,42,timesfm,3.0589660727197217
2017-10-24 14:00:00,etth1,HUFL,168,42,timesfm,3.1669341930676076
2017-10-24 15:00:00,etth1,HUFL,168,42,timesfm,3.2412379463868484
2017-10-24 16:00:00,etth1,HUFL,168,42,timesfm,3.3144766612067107
2017-10-24 17:00:00,etth1,HUFL,168,42,timesfm,3.3822101492966925
2017-10-24 18:00:00,etth1,HUFL,168,42,timesfm,3.2446240424400283
2017-10-24 19:00:00,etth1,HUFL,168,42,timesfm,3.4151487446257045
2017-10-24 20:00:00,etth1,HUFL,168,42,timesfm,3.383035223753679
2017-10-24 21:00:00,etth1,HUFL,168,42,timesfm,3.412129178998016
2017-10-24 22:00:00,etth1,HUFL,168,42,timesfm,3.358779610267707
2017-10-24 23:00:00,etth1,HUFL,168,42,timesfm,3.3470524233721552
2017-10-25 00:00:00,etth1,HUFL,168,42,timesfm,3.1954456819664863
2017-10-25 01:00:00,etth1,HUFL,168,42,timesfm,3.286752574145794
2017-10-25 02:00:00,etth1,HUFL,168,42,timesfm,3.449937930774121
2017-10-25 03:00:00,etth1,HUFL,168,42,timesfm,3.417273891468843
2017-10-25 04:00:00,etth1,HUFL,168,42,timesfm,3.2958839177375747
2017-10-25 05:00:00,etth1,HUFL,168,42,timesfm,3.393379775895959
2017-10-25 06:00:00,etth1,HUFL,168,42,timesfm,3.3569149172731807
2017-10-25 07:00:00,etth1,HUFL,168,42,timesfm,3.3663256320924986
2017-10-25 08:00:00,etth1,HUFL,168,42,timesfm,3.236547090822742
2017-10-25 09:00:00,etth1,HUFL,168,42,timesfm,2.990826626263914
2017-10-25 10:00:00,etth1,HUFL,168,42,timesfm,2.953093935691175
2017-10-25 11:00:00,etth1,HUFL,168,42,timesfm,2.9502384914528754
2017-10-25 12:00:00,etth1,HUFL,168,42,timesfm,2.9593229815363884
2017-10-25 13:00:00,etth1,HUFL,168,42,timesfm,3.0139248580450104
2017-10-25 14:00:00,etth1,HUFL,168,42,timesfm,2.976356675582273
2017-10-25 15:00:00,etth1,HUFL,168,42,timesfm,3.2225757748598145
2017-10-25 16:00:00,etth1,HUFL,168,42,timesfm,3.0527960001712753
2017-10-25 17:00:00,etth1,HUFL,168,42,timesfm,3.027068923626627
2017-10-25 18:00:00,etth1,HUFL,168,42,timesfm,2.9753470427933193
2017-10-25 19:00:00,etth1,HUFL,168,42,timesfm,2.9699064713148844
2017-10-25 20:00:00,etth1,HUFL,168,42,timesfm,3.043228125997952
2017-10-25 21:00:00,etth1,HUFL,168,42,timesfm,3.032149546912738
2017-10-25 22:00:00,etth1,HUFL,168,42,timesfm,2.9588182788519632
2017-10-25 23:00:00,etth1,HUFL,168,42,timesfm,3.003873300694284
2017-10-26 00:00:00,etth1,HUFL,168,42,timesfm,2.964656567999295
2017-10-26 01:00:00,etth1,HUFL,168,42,timesfm,3.078629630662146
2017-10-26 02:00:00,etth1,HUFL,168,42,timesfm,3.0337035975285938
2017-10-26 03:00:00,etth1,HUFL,168,42,timesfm,3.107481517252468
2017-10-26 04:00:00,etth1,HUFL,168,42,timesfm,3.0055533867506754
2017-10-26 05:00:00,etth1,HUFL,168,42,timesfm,3.1018003189847585
2017-10-26 06:00:00,etth1,HUFL,168,42,timesfm,3.1701884063936414
2017-10-26 07:00:00,etth1,HUFL,168,42,timesfm,3.146935528942517
2017-10-26 08:00:00,etth1,HUFL,168,42,timesfm,3.23930752490248
2017-10-26 09:00:00,etth1,HUFL,168,42,timesfm,3.459487661009743
2017-10-26 10:00:00,etth1,HUFL,168,42,timesfm,3.818229269413721
2017-10-26 11:00:00,etth1,HUFL,168,42,timesfm,3.7559823663461778
2017-10-26 12:00:00,etth1,HUFL,168,42,timesfm,3.789008243452935
2017-10-26 13:00:00,etth1,HUFL,168,42,timesfm,3.5216854094039824
2017-10-26 14:00:00,etth1,HUFL,168,42,timesfm,3.5890122247593745
2017-10-26 15:00:00,etth1,HUFL,168,42,timesfm,3.4560322718960896
2017-10-26 16:00:00,etth1,HUFL,168,42,timesfm,3.3419708971466338
2017-10-26 17:00:00,etth1,HUFL,168,42,timesfm,3.3485403424572375
2017-10-26 18:00:00,etth1,HUFL,168,42,timesfm,3.4027425073796795
2017-10-26 19:00:00,etth1,HUFL,168,42,timesfm,3.516712697666316
2017-10-26 20:00:00,etth1,HUFL,168,42,timesfm,3.569467389335235
2017-10-26 21:00:00,etth1,HUFL,168,42,timesfm,3.5741070177228678
2017-10-26 22:00:00,etth1,HUFL,168,42,timesfm,3.5509488421181836
2017-10-26 23:00:00,etth1,HUFL,168,42,timesfm,3.5803112538442727
2017-10-27 00:00:00,etth1,HUFL,168,42,timesfm,3.6564111434632824
2017-10-27 01:00:00,etth1,HUFL,168,42,timesfm,3.539064506157523
2017-10-27 02:00:00,etth1,HUFL,168,42,timesfm,3.597541571550426
2017-10-27 03:00:00,etth1,HUFL,168,42,timesfm,3.5475761700598967
2017-10-27 04:00:00,etth1,HUFL,168,42,timesfm,3.4923452020046257
2017-10-27 05:00:00,etth1,HUFL,168,42,timesfm,3.4625752321666194
2017-10-27 06:00:00,etth1,HUFL,168,42,timesfm,3.500581042574985
2017-10-27 07:00:00,etth1,HUFL,168,42,timesfm,3.6378459314860048
2017-10-27 08:00:00,etth1,HUFL,168,42,timesfm,3.6576962607602277
2017-10-27 09:00:00,etth1,HUFL,168,42,timesfm,3.6319298114450205
2017-10-27 10:00:00,etth1,HUFL,168,42,timesfm,3.4157017946598076
2017-10-27 11:00:00,etth1,HUFL,168,42,timesfm,3.435481746459291
2017-10-27 12:00:00,etth1,HUFL,168,42,timesfm,3.420769891036408
2017-10-27 13:00:00,etth1,HUFL,168,42,timesfm,3.5106379313483123
2017-10-27 14:00:00,etth1,HUFL,168,42,timesfm,3.499105285498358
2017-10-27 15:00:00,etth1,HUFL,168,42,timesfm,3.59138943006595
2017-10-27 16:00:00,etth1,HUFL,168,42,timesfm,3.563143882368292
2017-10-27 17:00:00,etth1,HUFL,168,42,timesfm,3.3648870789578984
2017-10-27 18:00:00,etth1,HUFL,168,42,timesfm,3.328260866304239
2017-10-27 19:00:00,etth1,HUFL,168,42,timesfm,3.5050666775731814
2017-10-27 20:00:00,etth1,HUFL,168,42,timesfm,3.423113031401521
2017-10-27 21:00:00,etth1,HUFL,168,42,timesfm,3.4578210729218664
2017-10-27 22:00:00,etth1,HUFL,168,42,timesfm,3.528529902654035
2017-10-27 23:00:00,etth1,HUFL,168,42,timesfm,3.5820627613436606
2017-10-28 00:00:00,etth1,HUFL,168,42,timesfm,3.412961615338212
2017-10-28 01:00:00,etth1,HUFL,168,42,timesfm,3.4299795985931443
2017-10-28 02:00:00,etth1,HUFL,168,42,timesfm,3.4628381179202172
2017-10-28 03:00:00,etth1,HUFL,168,42,timesfm,3.453220440163499
2017-10-28 04:00:00,etth1,HUFL,168,42,timesfm,3.4085212168948993
2017-10-28 05:00:00,etth1,HUFL,168,42,timesfm,3.4727053858694577
2017-10-28 06:00:00,etth1,HUFL,168,42,timesfm,3.3330013045952436
2017-10-28 07:00:00,etth1,HUFL,168,42,timesfm,3.416955099574157
2017-10-28 08:00:00,etth1,HUFL,168,42,timesfm,3.462687572198255
2017-10-28 09:00:00,etth1,HUFL,168,42,timesfm,3.305586955377034
2017-10-28 10:00:00,etth1,HUFL,168,42,timesfm,3.1664239310082936
2017-10-28 11:00:00,etth1,HUFL,168,42,timesfm,3.1288448685691472
2017-10-28 12:00:00,etth1,HUFL,168,42,timesfm,3.2273752817085812
2017-10-28 13:00:00,etth1,HUFL,168,42,timesfm,3.051047247080576
2017-10-28 14:00:00,etth1,HUFL,168,42,timesfm,3.1139760386376154
2017-10-28 15:00:00,etth1,HUFL,168,42,timesfm,3.206648971353258
2017-10-28 16:00:00,etth1,HUFL,168,42,timesfm,3.2372390116964067
2017-10-28 17:00:00,etth1,HUFL,168,42,timesfm,3.230144945283731
2017-10-28 18:00:00,etth1,HUFL,168,42,timesfm,3.0187800005078316
2017-10-28 19:00:00,etth1,HUFL,168,42,timesfm,3.0731760011542413
2017-10-28 20:00:00,etth1,HUFL,168,42,timesfm,3.0241606920247985
2017-10-28 21:00:00,etth1,HUFL,168,42,timesfm,3.0092429110691663
2017-10-28 22:00:00,etth1,HUFL,168,42,timesfm,3.136068754607723
2017-10-28 23:00:00,etth1,HUFL,168,42,timesfm,3.1455408905943236
2017-10-29 00:00:00,etth1,HUFL,168,42,timesfm,3.1608361619569005
2017-10-29 01:00:00,etth1,HUFL,168,42,timesfm,3.1914026428546225
2017-10-29 02:00:00,etth1,HUFL,168,42,timesfm,3.1060647769343284
2017-10-29 03:00:00,etth1,HUFL,168,42,timesfm,3.1498401480771245
2017-10-29 04:00:00,etth1,HUFL,168,42,timesfm,3.1756703601706597
2017-10-29 05:00:00,etth1,HUFL,168,42,timesfm,3.1603259121378264
2017-10-29 06:00:00,etth1,HUFL,168,42,timesfm,3.228826385523592
2017-10-29 07:00:00,etth1,HUFL,168,42,timesfm,3.1828069108582677
2017-10-29 08:00:00,etth1,HUFL,168,42,timesfm,3.2592050323174115
2017-10-29 09:00:00,etth1,HUFL,168,42,timesfm,3.3192781362505186
2017-10-29 10:00:00,etth1,HUFL,168,42,timesfm,3.4142416130219186
2017-10-29 11:00:00,etth1,HUFL,168,42,timesfm,3.7819627463108016
2017-10-29 12:00:00,etth1,HUFL,168,42,timesfm,3.998488062549205
2017-10-29 13:00:00,etth1,HUFL,168,42,timesfm,3.856262352849756
2017-10-29 14:00:00,etth1,HUFL,168,42,timesfm,3.759799384999843
2017-10-29 15:00:00,etth1,HUFL,168,42,timesfm,3.5738647789472626
2017-10-29 16:00:00,etth1,HUFL,168,42,timesfm,3.6635401043153943
2017-10-29 17:00:00,etth1,HUFL,168,42,timesfm,3.637114962651616
2017-10-29 18:00:00,etth1,HUFL,168,42,timesfm,3.6221266779161634
2017-10-29 19:00:00,etth1,HUFL,168,42,timesfm,3.8927566671655294
2017-10-29 20:00:00,etth1,HUFL,168,42,timesfm,3.792385935073807
2017-10-29 21:00:00,etth1,HUFL,168,42,timesfm,3.5494284551768076
2017-10-29 22:00:00,etth1,HUFL,168,42,timesfm,3.5832650867246447
2017-10-29 23:00:00,etth1,HUFL,168,42,timesfm,3.557961792463348
2017-10-30 00:00:00,etth1,HUFL,168,42,timesfm,3.5545469529571987
2017-10-30 01:00:00,etth1,HUFL,168,42,timesfm,3.4418403669482185
2017-10-30 02:00:00,etth1,HUFL,168,42,timesfm,3.2457475059089207
2017-10-30 03:00:00,etth1,HUFL,168,42,timesfm,3.2474198873553957
2017-10-30 04:00:00,etth1,HUFL,168,42,timesfm,3.1692795292252587
2017-10-30 05:00:00,etth1,HUFL,168,42,timesfm,3.0502180052655086
2017-10-30 06:00:00,etth1,HUFL,168,42,timesfm,3.2067993858030865
2017-10-30 07:00:00,etth1,HUFL,168,42,timesfm,3.245469440306936
2017-10-30 08:00:00,etth1,HUFL,168,42,timesfm,3.3002866357564926
2017-10-30 09:00:00,etth1,HUFL,168,42,timesfm,3.072774173957961
2017-10-30 10:00:00,etth1,HUFL,168,42,timesfm,2.920754414938745
2017-10-30 11:00:00,etth1,HUFL,168,42,timesfm,2.9699254440409795
2017-10-30 12:00:00,etth1,HUFL,168,42,timesfm,2.947187220056852
2017-10-30 13:00:00,etth1,HUFL,168,42,timesfm,2.885827664108503
2017-10-30 14:00:00,etth1,HUFL,168,42,timesfm,2.8650093185050145
