origin,dataset,target,horizon,seed,model,abs_error
2017-10-24 00:00:00,etth1,HUFL,168,42,xgboost,3.5562491600228023
2017-10-24 01:00:00,etth1,HUFL,168,42,xgboost,3.737405195302751
2017-10-24 02:00:00,etth1,HUFL,168,42,xgboost,3.640108346520727
2017-10-24 03:00:00,etth1,HUFL,168,42,xgboost,3.810420961350851
2017-10-24 04:00:00,etth1,HUFL,168,42,xgboost,3.8440424365952643
2017-10-24 05:00:00,etth1,HUFL,168,42,xgboost,3.744979112993233
2017-10-24 06:00:00,etth1,HUFL,168,42,xgboost,3.747480135196087
2017-10-24 07:00:00,etth1,HUFL,168,42,xgboost,4.0156671921977765
2017-10-24 08:00:00,etth1,HUFL,168,42,xgboost,3.9786695489708923
2017-10-24 09:00:00,etth1,HUFL,168,42,xgboost,3.1335416285460473
2017-10-24 10:00:00,etth1,HUFL,168,42,xgboost,2.8396290252421856
2017-10-24 11:00:00,etth1,HUFL,168,42,xgboost,2.5491808922981893
2017-10-24 12:00:00,etth1,HUFL,168,42,xgboost,2.7339051498830425
2017-10-24 13:00:00,etth1,HUFL,168,42,xgboost,3.076681266993936
2017-10-24 14:00:00,etth1,HUFL,168,42,xgboost,3.244024198978773
2017-10-24 15:00:00,etth1,HUFL,168,42,xgboost,3.1985599324607312
2017-10-24 16:00:00,etth1,HUFL,168,42,xgboost,3.128281664347926
2017-10-24 17:00:00,etth1,HUFL,168,42,xgboost,3.274876013702653
2017-10-24 18:00:00,etth1,HUFL,168,42,xgboost,3.3763617108087294
2017-10-24 19:00:00,etth1,HUFL,168,42,xgboost,3.292991469622661
2017-10-24 20:00:00,etth1,HUFL,168,42,xgboost,3.1978471128268495
2017-10-24 21:00:00,etth1,HUFL,168,42,xgboost,3.2567724498755295
2017-10-24 22:00:00,etth1,HUFL,168,42,xgboost,3.304890227390117
2017-10-24 23:00:00,etth1,HUFL,168,42,xgboost,3.236538795611738
2017-10-25 00:00:00,etth1,HUFL,168,42,xgboost,3.277779754271336
2017-10-25 01:00:00,etth1,HUFL,168,42,xgboost,3.348696922230496
2017-10-25 02:00:00,etth1,HUFL,168,42,xgboost,3.585318037807954
2017-10-25 03:00:00,etth1,HUFL,168,42,xgboost,3.5776315974284176
2017-10-25 04:00:00,etth1,HUFL,168,42,xgboost,3.7243287024573046
2017-10-25 05:00:00,etth1,HUFL,168,42,xgboost,3.5658544552534983
2017-10-25 06:00:00,etth1,HUFL,168,42,xgboost,3.4219339375820166
2017-10-25 07:00:00,etth1,HUFL,168,42,xgboost,3.2786299827461285
2017-10-25 08:00:00,etth1,HUFL,168,42,xgboost,3.4470680207330866
2017-10-25 09:00:00,etth1,HUFL,168,42,xgboost,3.1697608350883235
2017-10-25 10:00:00,etth1,HUFL,168,42,xgboost,3.0265404830844114
2017-10-25 11:00:00,etth1,HUFL,168,42,xgboost,2.9231043270454293
2017-10-25 12:00:00,etth1,HUFL,168,42,xgboost,2.9784112084565013
2017-10-25 13:00:00,etth1,HUFL,168,42,xgboost,3.3128616130975876
2017-10-25 14:00:00,etth1,HUFL,168,42,xgboost,3.264834980886719
2017-10-25 15:00:00,etth1,HUFL,168,42,xgboost,3.801334087783103
2017-10-25 16:00:00,etth1,HUFL,168,42,xgboost,3.4663686287413404
2017-10-25 17:00:00,etth1,HUFL,168,42,xgboost,3.822054932873508
2017-10-25 18:00:00,etth1,HUFL,168,42,xgboost,3.5872308408614764
2017-10-25 19:00:00,etth1,HUFL,168,42,xgboost,3.4772189107725042
2017-10-25 20:00:00,etth1,HUFL,168,42,xgboost,3.317766659439396
2017-10-25 21:00:00,etth1,HUFL,168,42,xgboost,3.3071517642792805
2017-10-25 22:00:00,etth1,HUFL,168,42,xgboost,3.394352801398464
2017-10-25 23:00:00,etth1,HUFL,168,42,xgboost,3.5949241610635494
2017-10-26 00:00:00,etth1,HUFL,168,42,xgboost,3.5085779323952098
2017-10-26 01:00:00,etth1,HUFL,168,42,xgboost,3.7081561996418904
2017-10-26 02:00:00,etth1,HUFL,168,42,xgboost,3.8006897586835127
2017-10-26 03:00:00,etth1,HUFL,168,42,xgboost,3.76614331514867
2017-10-26 04:00:00,etth1,HUFL,168,42,xgboost,3.694406692228811
2017-10-26 05:00:00,etth1,HUFL,168,42,xgboost,3.7087787387943907
2017-10-26 06:00:00,etth1,HUFL,168,42,xgboost,3.602508557432807
2017-10-26 07:00:00,etth1,HUFL,168,42,xgboost,3.696490569824673
2017-10-26 08:00:00,etth1,HUFL,168,42,xgboost,3.6392061770920545
2017-10-26 09:00:00,etth1,HUFL,168,42,xgboost,3.7356128855966286
2017-10-26 10:00:00,etth1,HUFL,168,42,xgboost,3.779841835910216
2017-10-26 11:00:00,etth1,HUFL,168,42,xgboost,3.644879871731727
