origin,dataset,target,horizon,seed,model,abs_error
2017-10-23 23:00:00,etth1,HUFL,24,43,patchtst,3.3736695619407677
2017-10-24 00:00:00,etth1,HUFL,24,43,patchtst,3.3534213668570927
2017-10-24 01:00:00,etth1,HUFL,24,43,patchtst,3.348591403895282
2017-10-24 02:00:00,etth1,HUFL,24,43,patchtst,3.572609584715611
2017-10-24 03:00:00,etth1,HUFL,24,43,patchtst,3.4679759988385155
2017-10-24 04:00:00,etth1,HUFL,24,43,patchtst,3.523860902609016
2017-10-24 05:00:00,etth1,HUFL,24,43,patchtst,3.3917499623041096
2017-10-24 06:00:00,etth1,HUFL,24,43,patchtst,3.3524817664204156
2017-10-24 07:00:00,etth1,HUFL,24,43,patchtst,3.4169084229635325
2017-10-24 08:00:00,etth1,HUFL,24,43,patchtst,1.5583635502800945
2017-10-24 09:00:00,etth1,HUFL,24,43,patchtst,1.5158848288043505
2017-10-24 10:00:00,etth1,HUFL,24,43,patchtst,1.8657732191520395
2017-10-24 11:00:00,etth1,HUFL,24,43,patchtst,1.822139492921627
2017-10-24 12:00:00,etth1,HUFL,24,43,patchtst,2.2878521861536467
2017-10-24 13:00:00,etth1,HUFL,24,43,patchtst,2.7248175985330554
2017-10-24 14:00:00,etth1,HUFL,24,43,patchtst,2.8385840149319055
2017-10-24 15:00:00,etth1,HUFL,24,43,patchtst,2.7558165488793627
2017-10-24 16:00:00,etth1,HUFL,24,43,patchtst,2.663126316866492
2017-10-24 17:00:00,etth1,HUFL,24,43,patchtst,3.0356930420877917
2017-10-24 18:00:00,etth1,HUFL,24,43,patchtst,2.892877468601936
2017-10-24 19:00:00,etth1,HUFL,24,43,patchtst,2.887725756145112
2017-10-24 20:00:00,etth1,HUFL,24,43,patchtst,2.9436792761719155
2017-10-24 21:00:00,etth1,HUFL,24,43,patchtst,2.924728602045152
2017-10-24 22:00:00,etth1,HUFL,24,43,patchtst,2.861492660356713
2017-10-24 23:00:00,etth1,HUFL,24,43,patchtst,2.9839003809033344
2017-10-25 00:00:00,etth1,HUFL,24,43,patchtst,3.2280423448514894
2017-10-25 01:00:00,etth1,HUFL,24,43,patchtst,2.661579925039197
2017-10-25 02:00:00,etth1,HUFL,24,43,patchtst,2.423077894330103
2017-10-25 03:00:00,etth1,HUFL,24,43,patchtst,2.392684258574729
2017-10-25 04:00:00,etth1,HUFL,24,43,patchtst,2.204952619426051
2017-10-25 05:00:00,etth1,HUFL,24,43,patchtst,2.4588846525279817
2017-10-25 06:00:00,etth1,HUFL,24,43,patchtst,2.90962693474969
2017-10-25 07:00:00,etth1,HUFL,24,43,patchtst,3.4733120464759715
2017-10-25 08:00:00,etth1,HUFL,24,43,patchtst,2.6850698446885897
2017-10-25 09:00:00,etth1,HUFL,24,43,patchtst,2.7465819017035713
2017-10-25 10:00:00,etth1,HUFL,24,43,patchtst,2.7359939673113787
2017-10-25 11:00:00,etth1,HUFL,24,43,patchtst,3.6379585633700464
2017-10-25 12:00:00,etth1,HUFL,24,43,patchtst,3.8255698524899433
2017-10-25 13:00:00,etth1,HUFL,24,43,patchtst,4.050600817554706
2017-10-25 14:00:00,etth1,HUFL,24,43,patchtst,3.5928463773775015
2017-10-25 15:00:00,etth1,HUFL,24,43,patchtst,3.1876289965884914
2017-10-25 16:00:00,etth1,HUFL,24,43,patchtst,2.818429805379827
2017-10-25 17:00:00,etth1,HUFL,24,43,patchtst,2.5611872449509523
2017-10-25 18:00:00,etth1,HUFL,24,43,patchtst,2.579585389488956
2017-10-25 19:00:00,etth1,HUFL,24,43,patchtst,2.422682808786027
2017-10-25 20:00:00,etth1,HUFL,24,43,patchtst,2.1279087959720147
2017-10-25 21:00:00,etth1,HUFL,24,43,patchtst,2.2889564902589847
2017-10-25 22:00:00,etth1,HUFL,24,43,patchtst,2.171568637770338
2017-10-25 23:00:00,etth1,HUFL,24,43,patchtst,2.0318811264826118
2017-10-26 00:00:00,etth1,HUFL,24,43,patchtst,2.241860925038662
2017-10-26 01:00:00,etth1,HUFL,24,43,patchtst,2.2743953003902586
2017-10-26 02:00:00,etth1,HUFL,24,43,patchtst,2.3637147038966977
2017-10-26 03:00:00,etth1,HUFL,24,43,patchtst,2.409926849967564
2017-10-26 04:00:00,etth1,HUFL,24,43,patchtst,2.2845882633509205
2017-10-26 05:00:00,etth1,HUFL,24,43,patchtst,2.4238093579077136
2017-10-26 06:00:00,etth1,HUFL,24,43,patchtst,2.1874532708570973
2017-10-26 07:00:00,etth1,HUFL,24,43,patchtst,1.8227290246037482
2017-10-26 08:00:00,etth1,HUFL,24,43,patchtst,1.6056903017936512
2017-10-26 09:00:00,etth1,HUFL,24,43,patchtst,2.3067045634848307
2017-10-26 10:00:00,etth1,HUFL,24,43,patchtst,1.9180842339829394
2017-10-26 11:00:00,etth1,HUFL,24,43,patchtst,2.613916252430348
2017-10-26 12:00:00,etth1,HUFL,24,43,patchtst,1.6279315960621883
2017-10-26 13:00:00,etth1,HUFL,24,43,patchtst,1.859205212099683
2017-10-26 14:00:00,etth1,HUFL,24,43,patchtst,1.7291557449176114
2017-10-26 15:00:00,etth1,HUFL,24,43,patchtst,1.4503629973839598
2017-10-26 16:00:00,etth1,HUFL,24,43,patchtst,1.5754385135176214
2017-10-26 17:00:00,etth1,HUFL,24,43,patchtst,1.3748053950200554
2017-10-26 18:00:00,etth1,HUFL,24,43,patchtst,1.0873447690797993
2017-10-26 19:00:00,etth1,HUFL,24,43,patchtst,1.1446273325355119
2017-10-26 20:00:00,etth1,HUFL,24,43,patchtst,1.3277193541615446
2017-10-26 21:00:00,etth1,HUFL,24,43,patchtst,1.3497310563214695
2017-10-26 22:00:00,etth1,HUFL,24,43,patchtst,1.250956670749365
2017-10-26 23:00:00,etth1,HUFL,24,43,patchtst,1.3230914431190188
2017-10-27 00:00:00,etth1,HUFL,24,43,patchtst,1.3744259367542664
2017-10-27 01:00:00,etth1,HUFL,24,43,patchtst,1.6331115219416301
2017-10-27 02:00:00,etth1,HUFL,24,43,patchtst,1.3362870503471562
2017-10-27 03:00:00,etth1,HUFL,24,43,patchtst,1.4092004150449322
2017-10-27 04:00:00,etth1,HUFL,24,43,patchtst,1.3348470799070882
2017-10-27 05:00:00,etth1,HUFL,24,43,patchtst,1.4512198271774164
2017-10-27 06:00:00,etth1,HUFL,24,43,patchtst,1.2442088569286271
2017-10-27 07:00:00,etth1,HUFL,24,43,patchtst,1.7284809357466369
2017-10-27 08:00:00,etth1,HUFL,24,43,patchtst,1.5215222065194896
2017-10-27 09:00:00,etth1,HUFL,24,43,patchtst,1.6800027691186508
2017-10-27 10:00:00,etth1,HUFL,24,43,patchtst,1.6974161825914915
2017-10-27 11:00:00,etth1,HUFL,24,43,patchtst,2.1228081104520204
2017-10-27 12:00:00,etth1,HUFL,24,43,patchtst,2.649709761450394
2017-10-27 13:00:00,etth1,HUFL,24,43,patchtst,2.574307961117045
2017-10-27 14:00:00,etth1,HUFL,24,43,patchtst,3.2236307156387003
2017-10-27 15:00:00,etth1,HUFL,24,43,patchtst,2.7827944603207215
2017-10-27 16:00:00,etth1,HUFL,24,43,patchtst,2.7599944743954836
2017-10-27 17:00:00,etth1,HUFL,24,43,patchtst,3.0178145669665137
2017-10-27 18:00:00,etth1,HUFL,24,43,patchtst,2.765826710493107
2017-10-27 19:00:00,etth1,HUFL,24,43,patchtst,2.765183725354692
2017-10-27 20:00:00,etth1,HUFL,24,43,patchtst,2.7464896397773537
2017-10-27 21:00:00,etth1,HUFL,24,43,patchtst,2.2870608217889523
2017-10-27 22:00:00,etth1,HUFL,24,43,patchtst,2.4013649755561475
2017-10-27 23:00:00,etth1,HUFL,24,43,patchtst,2.5806217302615586
2017-10-28 00:00:00,etth1,HUFL,24,43,patchtst,2.599986381994428
2017-10-28 01:00:00,etth1,HUFL,24,43,patchtst,2.399580251787335
2017-10-28 02:00:00,etth1,HUFL,24,43,patchtst,2.2806730522940537
2017-10-28 03:00:00,etth1,HUFL,24,43,patchtst,2.224508973223338
2017-10-28 04:00:00,etth1,HUFL,24,43,patchtst,2.4570963289719043
2017-10-28 05:00:00,etth1,HUFL,24,43,patchtst,2.0238062611578176
2017-10-28 06:00:00,etth1,HUFL,24,43,patchtst,2.495022494358286
2017-10-28 07:00:00,etth1,HUFL,24,43,patchtst,3.0240922126250243
2017-10-28 08:00:00,etth1,HUFL,24,43,patchtst,2.12076333485445
2017-10-28 09:00:00,etth1,HUFL,24,43,patchtst,1.1262154010925136
2017-10-28 10:00:00,etth1,HUFL,24,43,patchtst,1.6078508897267572
2017-10-28 11:00:00,etth1,HUFL,24,43,patchtst,2.2934478738846273
2017-10-28 12:00:00,etth1,HUFL,24,43,patchtst,3.1258858747209786
2017-10-28 13:00:00,etth1,HUFL,24,43,patchtst,3.132290118380341
2017-10-28 14:00:00,etth1,HUFL,24,43,patchtst,3.319402251596998
2017-10-28 15:00:00,etth1,HUFL,24,43,patchtst,3.250483604942902
2017-10-28 16:00:00,etth1,HUFL,24,43,patchtst,3.0502379365862478
2017-10-28 17:00:00,etth1,HUFL,24,43,patchtst,3.301892654071129
2017-10-28 18:00:00,etth1,HUFL,24,43,patchtst,3.0800785919194866
2017-10-28 19:00:00,etth1,HUFL,24,43,patchtst,3.2923256020175304
2017-10-28 20:00:00,etth1,HUFL,24,43,patchtst,3.6295506261187516
2017-10-28 21:00:00,etth1,HUFL,24,43,patchtst,3.628669296246512
2017-10-28 22:00:00,etth1,HUFL,24,43,patchtst,3.325205776709639
2017-10-28 23:00:00,etth1,HUFL,24,43,patchtst,3.4681517777349704
2017-10-29 00:00:00,etth1,HUFL,24,43,patchtst,3.3471284363628317
2017-10-29 01:00:00,etth1,HUFL,24,43,patchtst,3.524351169425916
2017-10-29 02:00:00,etth1,HUFL,24,43,patchtst,3.5946179464428347
2017-10-29 03:00:00,etth1,HUFL,24,43,patchtst,3.4189047577782348
2017-10-29 04:00:00,etth1,HUFL,24,43,patchtst,3.5906209032082095
2017-10-29 05:00:00,etth1,HUFL,24,43,patchtst,3.561801305732549
2017-10-29 06:00:00,etth1,HUFL,24,43,patchtst,3.2171758607740224
2017-10-29 07:00:00,etth1,HUFL,24,43,patchtst,2.491454210051486
2017-10-29 08:00:00,etth1,HUFL,24,43,patchtst,2.408576462029789
2017-10-29 09:00:00,etth1,HUFL,24,43,patchtst,2.830355926811773
2017-10-29 10:00:00,etth1,HUFL,24,43,patchtst,3.2185856366984495
2017-10-29 11:00:00,etth1,HUFL,24,43,patchtst,3.740194622812233
2017-10-29 12:00:00,etth1,HUFL,24,43,patchtst,3.6487996549954906
2017-10-29 13:00:00,etth1,HUFL,24,43,patchtst,3.6265225021815994
2017-10-29 14:00:00,etth1,HUFL,24,43,patchtst,3.4071880224258586
2017-10-29 15:00:00,etth1,HUFL,24,43,patchtst,3.303820291442061
