origin,dataset,target,horizon,seed,model,abs_error
2017-10-23 23:00:00,etth1,HUFL,96,45,dlinear,3.0333755603801458
2017-10-24 00:00:00,etth1,HUFL,96,45,dlinear,3.1249053311636437
2017-10-24 01:00:00,etth1,HUFL,96,45,dlinear,3.043174927327818
2017-10-24 02:00:00,etth1,HUFL,96,45,dlinear,3.065412525339077
2017-10-24 03:00:00,etth1,HUFL,96,45,dlinear,2.95478743730958
2017-10-24 04:00:00,etth1,HUFL,96,45,dlinear,2.9508630784325836
2017-10-24 05:00:00,etth1,HUFL,96,45,dlinear,2.8701881530784736
2017-10-24 06:00:00,etth1,HUFL,96,45,dlinear,2.7819035816039044
2017-10-24 07:00:00,etth1,HUFL,96,45,dlinear,2.63849679841501
2017-10-24 08:00:00,etth1,HUFL,96,45,dlinear,2.434266142612457
2017-10-24 09:00:00,etth1,HUFL,96,45,dlinear,2.195389992947168
2017-10-24 10:00:00,etth1,HUFL,96,45,dlinear,2.1422723136476822
2017-10-24 11:00:00,etth1,HUFL,96,45,dlinear,2.2302010064144038
2017-10-24 12:00:00,etth1,HUFL,96,45,dlinear,2.3220547444659276
2017-10-24 13:00:00,etth1,HUFL,96,45,dlinear,2.4492543943550893
2017-10-24 14:00:00,etth1,HUFL,96,45,dlinear,2.529752752653253
2017-10-24 15:00:00,etth1,HUFL,96,45,dlinear,2.7298978733105876
2017-10-24 16:00:00,etth1,HUFL,96,45,dlinear,2.5408604500946708
2017-10-24 17:00:00,etth1,HUFL,96,45,dlinear,2.5033636449192223
2017-10-24 18:00:00,etth1,HUFL,96,45,dlinear,2.4697739566367494
2017-10-24 19:00:00,etth1,HUFL,96,45,dlinear,2.418049348135673
2017-10-24 20:00:00,etth1,HUFL,96,45,dlinear,2.477023401528093
2017-10-24 21:00:00,etth1,HUFL,96,45,dlinear,2.4967817265050076
2017-10-24 22:00:00,etth1,HUFL,96,45,dlinear,2.4777442185212526
2017-10-24 23:00:00,etth1,HUFL,96,45,dlinear,2.456868921490931
