origin,dataset,target,horizon,seed,model,abs_error
2017-10-23 23:00:00,etth1,HUFL,96,46,itransformer,2.6354494297996354
2017-10-24 00:00:00,etth1,HUFL,96,46,itransformer,2.6325160136729218
2017-10-24 01:00:00,etth1,HUFL,96,46,itransformer,2.701150148053203
2017-10-24 02:00:00,etth1,HUFL,96,46,itransformer,2.7334550654052214
2017-10-24 03:00:00,etth1,HUFL,96,46,itransformer,2.672598532327127
2017-10-24 04:00:00,etth1,HUFL,96,46,itransformer,2.7716297515850816
2017-10-24 05:00:00,etth1,HUFL,96,46,itransformer,2.8804807496559826
2017-10-24 06:00:00,etth1,HUFL,96,46,itransformer,2.934369216431629
2017-10-24 07:00:00,etth1,HUFL,96,46,itransformer,2.849142562608012
2017-10-24 08:00:00,etth1,HUFL,96,46,itransformer,2.543392902791956
2017-10-24 09:00:00,etth1,HUFL,96,46,itransformer,2.352839554403231
2017-10-24 10:00:00,etth1,HUFL,96,46,itransformer,2.334390675341469
2017-10-24 11:00:00,etth1,HUFL,96,46,itransformer,2.309739868223079
2017-10-24 12:00:00,etth1,HUFL,96,46,itransformer,2.3346395206790898
2017-10-24 13:00:00,etth1,HUFL,96,46,itransformer,2.3540135449994173
2017-10-24 14:00:00,etth1,HUFL,96,46,itransformer,2.4531928987995264
2017-10-24 15:00:00,etth1,HUFL,96,46,itransformer,2.537416414122431
2017-10-24 16:00:00,etth1,HUFL,96,46,itransformer,2.4487246350092557
2017-10-24 17:00:00,etth1,HUFL,96,46,itransformer,2.327930234892644
2017-10-24 18:00:00,etth1,HUFL,96,46,itransformer,2.312828493502406
2017-10-24 19:00:00,etth1,HUFL,96,46,itransformer,2.3405892828846393
2017-10-24 20:00:00,etth1,HUFL,96,46,itransformer,2.4321217173004244
2017-10-24 21:00:00,etth1,HUFL,96,46,itransformer,2.402050257943644
2017-10-24 22:00:00,etth1,HUFL,96,46,itransformer,2.492503470324836
2017-10-24 23:00:00,etth1,HUFL,96,46,itransformer,2.5011480346018975
2017-10-25 00:00:00,etth1,HUFL,96,46,itransformer,2.5215911279256917
2017-10-25 01:00:00,etth1,HUFL,96,46,itransformer,2.4703851928536067
2017-10-25 02:00:00,etth1,HUFL,96,46,itransformer,2.4108554957304213
2017-10-25 03:00:00,etth1,HUFL,96,46,itransformer,2.3623870632949324
2017-10-25 04:00:00,etth1,HUFL,96,46,itransformer,2.398588622347004
2017-10-25 05:00:00,etth1,HUFL,96,46,itransformer,2.4364079111405856
2017-10-25 06:00:00,etth1,HUFL,96,46,itransformer,2.477297307419195
2017-10-25 07:00:00,etth1,HUFL,96,46,itransformer,2.4879861300964046
2017-10-25 08:00:00,etth1,HUFL,96,46,itransformer,2.416025922770331
2017-10-25 09:00:00,etth1,HUFL,96,46,itransformer,2.354862398738199
2017-10-25 10:00:00,etth1,HUFL,96,46,itransformer,2.324177096930837
2017-10-25 11:00:00,etth1,HUFL,96,46,itransformer,2.404675280443493
2017-10-25 12:00:00,etth1,HUFL,96,46,itransformer,2.3000368361938226
2017-10-25 13:00:00,etth1,HUFL,96,46,itransformer,2.2917009186480546
2017-10-25 14:00:00,etth1,HUFL,96,46,itransformer,2.3323847226435572
2017-10-25 15:00:00,etth1,HUFL,96,46,itransformer,2.325641099293604
2017-10-25 16:00:00,etth1,HUFL,96,46,itransformer,2.3434235178593985
2017-10-25 17:00:00,etth1,HUFL,96,46,itransformer,2.2689808667391804
2017-10-25 18:00:00,etth1,HUFL,96,46,itransformer,2.2726069681481054
2017-10-25 19:00:00,etth1,HUFL,96,46,itransformer,2.2695674329669298
2017-10-25 20:00:00,etth1,HUFL,96,46,itransformer,2.299474686494318
2017-10-25 21:00:00,etth1,HUFL,96,46,itransformer,2.225737537136036
2017-10-25 22:00:00,etth1,HUFL,96,46,itransformer,2.2080014965248673
2017-10-25 23:00:00,etth1,HUFL,96,46,itransformer,2.192330769144476
2017-10-26 00:00:00,etth1,HUFL,96,46,itransformer,2.296635099892917
2017-10-26 01:00:00,etth1,HUFL,96,46,itransformer,2.2654839810500227
2017-10-26 02:00:00,etth1,HUFL,96,46,itransformer,2.260451660317729
2017-10-26 03:00:00,etth1,HUFL,96,46,itransformer,2.273722480053761
2017-10-26 04:00:00,etth1,HUFL,96,46,itransformer,2.2655510735120306
2017-10-26 05:00:00,etth1,HUFL,96,46,itransformer,2.338611729599609
2017-10-26 06:00:00,etth1,HUFL,96,46,itransformer,2.453436378561556
2017-10-26 07:00:00,etth1,HUFL,96,46,itransformer,2.4877806176773403
2017-10-26 08:00:00,etth1,HUFL,96,46,itransformer,2.3547385501937286
2017-10-26 09:00:00,etth1,HUFL,96,46,itransformer,2.313731793610887
2017-10-26 10:00:00,etth1,HUFL,96,46,itransformer,2.37519773634916
2017-10-26 11:00:00,etth1,HUFL,96,46,itransformer,2.5458749511236403
2017-10-26 12:00:00,etth1,HUFL,96,46,itransformer,2.2518363452433534
2017-10-26 13:00:00,etth1,HUFL,96,46,itransformer,2.4074180597106327
2017-10-26 14:00:00,etth1,HUFL,96,46,itransformer,2.519123530641886
2017-10-26 15:00:00,etth1,HUFL,96,46,itransformer,2.435929742978398
2017-10-26 16:00:00,etth1,HUFL,96,46,itransformer,2.523049564728556
2017-10-26 17:00:00,etth1,HUFL,96,46,itransformer,2.4870692558773513
2017-10-26 18:00:00,etth1,HUFL,96,46,itransformer,2.345166227876526
2017-10-26 19:00:00,etth1,HUFL,96,46,itransformer,2.2827888153452243
2017-10-26 20:00:00,etth1,HUFL,96,46,itransformer,2.339003566275569
2017-10-26 21:00:00,etth1,HUFL,96,46,itransformer,2.2659847660550345
2017-10-26 22:00:00,etth1,HUFL,96,46,itransformer,2.2692504775096523
2017-10-26 23:00:00,etth1,HUFL,96,46,itransformer,2.3118655240774335
2017-10-27 00:00:00,etth1,HUFL,96,46,itransformer,2.3302659633672644
2017-10-27 01:00:00,etth1,HUFL,96,46,itransformer,2.339672640334501
2017-10-27 02:00:00,etth1,HUFL,96,46,itransformer,2.3843915236141355
2017-10-27 03:00:00,etth1,HUFL,96,46,itransformer,2.4016171119646366
2017-10-27 04:00:00,etth1,HUFL,96,46,itransformer,2.3543947897712534
2017-10-27 05:00:00,etth1,HUFL,96,46,itransformer,2.412500638387447
2017-10-27 06:00:00,etth1,HUFL,96,46,itransformer,2.4464118764340657
2017-10-27 07:00:00,etth1,HUFL,96,46,itransformer,2.4473047895236526
2017-10-27 08:00:00,etth1,HUFL,96,46,itransformer,2.4843022334612437
2017-10-27 09:00:00,etth1,HUFL,96,46,itransformer,2.5559286326612654
2017-10-27 10:00:00,etth1,HUFL,96,46,itransformer,2.680791468921093
2017-10-27 11:00:00,etth1,HUFL,96,46,itransformer,2.7499776500885886
2017-10-27 12:00:00,etth1,HUFL,96,46,itransformer,3.013603613900686
2017-10-27 13:00:00,etth1,HUFL,96,46,itransformer,3.129360364742578
2017-10-27 14:00:00,etth1,HUFL,96,46,itransformer,3.3824409416114114
2017-10-27 15:00:00,etth1,HUFL,96,46,itransformer,3.4732093797516863
2017-10-27 16:00:00,etth1,HUFL,96,46,itransformer,3.6727858496623793
2017-10-27 17:00:00,etth1,HUFL,96,46,itransformer,3.6422090906226487
2017-10-27 18:00:00,etth1,HUFL,96,46,itransformer,3.681962796509229
2017-10-27 19:00:00,etth1,HUFL,96,46,itransformer,3.6503476462936413
2017-10-27 20:00:00,etth1,HUFL,96,46,itransformer,3.844676884206774
2017-10-27 21:00:00,etth1,HUFL,96,46,itransformer,3.6976043793123305
2017-10-27 22:00:00,etth1,HUFL,96,46,itransformer,3.7018260352299586
2017-10-27 23:00:00,etth1,HUFL,96,46,itransformer,3.7444304980950505
2017-10-28 00:00:00,etth1,HUFL,96,46,itransformer,3.7371643550151217
2017-10-28 01:00:00,etth1,HUFL,96,46,itransformer,3.7707355303302914
2017-10-28 02:00:00,etth1,HUFL,96,46,itransformer,3.6812335675118875
2017-10-28 03:00:00,etth1,HUFL,96,46,itransformer,3.682914045740459
2017-10-28 04:00:00,etth1,HUFL,96,46,itransformer,3.6645164285359453
2017-10-28 05:00:00,etth1,HUFL,96,46,itransformer,3.6978569445246166
2017-10-28 06:00:00,etth1,HUFL,96,46,itransformer,3.748141715281816
2017-10-28 07:00:00,etth1,HUFL,96,46,itransformer,3.8395744691498184
2017-10-28 08:00:00,etth1,HUFL,96,46,itransformer,3.826856924200458
2017-10-28 09:00:00,etth1,HUFL,96,46,itransformer,3.79094220900132
2017-10-28 10:00:00,etth1,HUFL,96,46,itransformer,3.7770259252870875
2017-10-28 11:00:00,etth1,HUFL,96,46,itransformer,3.7483370953884916
2017-10-28 12:00:00,etth1,HUFL,96,46,itransformer,3.8294164972211706
2017-10-28 13:00:00,etth1,HUFL,96,46,itransformer,3.8243493301505587
2017-10-28 14:00:00,etth1,HUFL,96,46,itransformer,3.742323569874993
2017-10-28 15:00:00,etth1,HUFL,96,46,itransformer,3.7755762694231567
2017-10-28 16:00:00,etth1,HUFL,96,46,itransformer,3.7544225513999763
2017-10-28 17:00:00,etth1,HUFL,96,46,itransformer,3.713876526794581
2017-10-28 18:00:00,etth1,HUFL,96,46,itransformer,3.829501985902349
2017-10-28 19:00:00,etth1,HUFL,96,46,itransformer,4.07441061780564
2017-10-28 20:00:00,etth1,HUFL,96,46,itransformer,4.083386680757066
2017-10-28 21:00:00,etth1,HUFL,96,46,itransformer,4.012526670650771
2017-10-28 22:00:00,etth1,HUFL,96,46,itransformer,3.9151335017626194
2017-10-28 23:00:00,etth1,HUFL,96,46,itransformer,3.879392986930771
2017-10-29 00:00:00,etth1,HUFL,96,46,itransformer,4.012547487424381
2017-10-29 01:00:00,etth1,HUFL,96,46,itransformer,3.932933924556051
2017-10-29 02:00:00,etth1,HUFL,96,46,itransformer,3.794977164758927
2017-10-29 03:00:00,etth1,HUFL,96,46,itransformer,3.8137022759701282
2017-10-29 04:00:00,etth1,HUFL,96,46,itransformer,3.7392098742806716
2017-10-29 05:00:00,etth1,HUFL,96,46,itransformer,3.7556026405528566
2017-10-29 06:00:00,etth1,HUFL,96,46,itransformer,3.8210789828489085
2017-10-29 07:00:00,etth1,HUFL,96,46,itransformer,3.7350803046848675
2017-10-29 08:00:00,etth1,HUFL,96,46,itransformer,3.6796971878575735
2017-10-29 09:00:00,etth1,HUFL,96,46,itransformer,3.7319074756032555
2017-10-29 10:00:00,etth1,HUFL,96,46,itransformer,3.924357617686187
2017-10-29 11:00:00,etth1,HUFL,96,46,itransformer,4.138922627031677
2017-10-29 12:00:00,etth1,HUFL,96,46,itransformer,3.8591907423247105
2017-10-29 13:00:00,etth1,HUFL,96,46,itransformer,3.758110906959397
2017-10-29 14:00:00,etth1,HUFL,96,46,itransformer,3.708570257614061
2017-10-29 15:00:00,etth1,HUFL,96,46,itransformer,3.5853290238955964
2017-10-29 16:00:00,etth1,HUFL,96,46,itransformer,3.6201724348915802
2017-10-29 17:00:00,etth1,HUFL,96,46,itransformer,3.5855184292514335
2017-10-29 18:00:00,etth1,HUFL,96,46,itransformer,3.6362966642973156
2017-10-29 19:00:00,etth1,HUFL,96,46,itransformer,3.671129914999289
2017-10-29 20:00:00,etth1,HUFL,96,46,itransformer,3.711410513152815
2017-10-29 21:00:00,etth1,HUFL,96,46,itransformer,3.7198476190440477
2017-10-29 22:00:00,etth1,HUFL,96,46,itransformer,3.7261228255708105
2017-10-29 23:00:00,etth1,HUFL,96,46,itransformer,3.7314076743448243
2017-10-30 00:00:00,etth1,HUFL,96,46,itransformer,3.7658582878205884
2017-10-30 01:00:00,etth1,HUFL,96,46,itransformer,3.664348265121369
2017-10-30 02:00:00,etth1,HUFL,96,46,itransformer,3.664059855519356
2017-10-30 03:00:00,etth1,HUFL,96,46,itransformer,3.7413476162473565
2017-10-30 04:00:00,etth1,HUFL,96,46,itransformer,3.8226139202180742
2017-10-30 05:00:00,etth1,HUFL,96,46,itransformer,3.7870341120009905
2017-10-30 06:00:00,etth1,HUFL,96,46,itransformer,3.872781170052761
2017-10-30 07:00:00,etth1,HUFL,96,46,itransformer,3.802145136342092
2017-10-30 08:00:00,etth1,HUFL,96,46,itransformer,3.6938160037167287
2017-10-30 09:00:00,etth1,HUFL,96,46,itransformer,3.536393807380163
2017-10-30 10:00:00,etth1,HUFL,96,46,itransformer,3.3922388708266147
2017-10-30 11:00:00,etth1,HUFL,96,46,itransformer,3.269751808760173
2017-10-30 12:00:00,etth1,HUFL,96,46,itransformer,3.3177852819797167
2017-10-30 13:00:00,etth1,HUFL,96,46,itransformer,3.2961989129744147
2017-10-30 14:00:00,etth1,HUFL,96,46,itransformer,3.4101892892776804
2017-10-30 15:00:00,etth1,HUFL,96,46,itransformer,3.418453381779075
2017-10-30 16:00:00,etth1,HUFL,96,46,itransformer,3.4326385930454086
2017-10-30 17:00:00,etth1,HUFL,96,46,itransformer,3.4344881180456834
2017-10-30 18:00:00,etth1,HUFL,96,46,itransformer,3.4621056645069803
2017-10-30 19:00:00,etth1,HUFL,96,46,itransformer,3.4292020970648847
2017-10-30 20:00:00,etth1,HUFL,96,46,itransformer,3.5720391879229276
2017-10-30 21:00:00,etth1,HUFL,96,46,itransformer,3.3954246093377023
2017-10-30 22:00:00,etth1,HUFL,96,46,itransformer,3.3684082010866647
2017-10-30 23:00:00,etth1,HUFL,96,46,itransformer,3.4695606610396172
2017-10-31 00:00:00,etth1,HUFL,96,46,itransformer,3.4888289489266753
2017-10-31 01:00:00,etth1,HUFL,96,46,itransformer,3.4301863751341877
2017-10-31 02:00:00,etth1,HUFL,96,46,itransformer,3.350191461410642
2017-10-31 03:00:00,etth1,HUFL,96,46,itransformer,3.4318695688631657
2017-10-31 04:00:00,etth1,HUFL,96,46,itransformer,3.4485324803865045
2017-10-31 05:00:00,etth1,HUFL,96,46,itransformer,3.5734070830018694
2017-10-31 06:00:00,etth1,HUFL,96,46,itransformer,3.6135526918566465
2017-10-31 07:00:00,etth1,HUFL,96,46,itransformer,3.4155869054984964
