origin,dataset,target,horizon,seed,model,abs_error
2017-10-24 00:00:00,etth1,HUFL,96,42,sarima,3.1996139246938236
2017-10-24 01:00:00,etth1,HUFL,96,42,sarima,3.241001720688083
2017-10-24 02:00:00,etth1,HUFL,96,42,sarima,3.2646779292215684
2017-10-24 03:00:00,etth1,HUFL,96,42,sarima,3.3027387956721337
2017-10-24 04:00:00,etth1,HUFL,96,42,sarima,3.309351322180134
2017-10-24 05:00:00,etth1,HUFL,96,42,sarima,3.3444812418153713
2017-10-24 06:00:00,etth1,HUFL,96,42,sarima,3.3488134753957026
2017-10-24 07:00:00,etth1,HUFL,96,42,sarima,3.361587877280769
2017-10-24 08:00:00,etth1,HUFL,96,42,sarima,3.3105040195758284
2017-10-24 09:00:00,etth1,HUFL,96,42,sarima,3.2331280072503694
2017-10-24 10:00:00,etth1,HUFL,96,42,sarima,3.22164801157554
2017-10-24 11:00:00,etth1,HUFL,96,42,sarima,3.2568116598414445
2017-10-24 12:00:00,etth1,HUFL,96,42,sarima,3.529544729907478
2017-10-24 13:00:00,etth1,HUFL,96,42,sarima,3.7667564621908176
2017-10-24 14:00:00,etth1,HUFL,96,42,sarima,3.794438511177663
2017-10-24 15:00:00,etth1,HUFL,96,42,sarima,4.039230188902678
2017-10-24 16:00:00,etth1,HUFL,96,42,sarima,4.129398485030648
2017-10-24 17:00:00,etth1,HUFL,96,42,sarima,3.5759486735686665
2017-10-24 18:00:00,etth1,HUFL,96,42,sarima,3.3029297216524003
2017-10-24 19:00:00,etth1,HUFL,96,42,sarima,3.247246811759838
2017-10-24 20:00:00,etth1,HUFL,96,42,sarima,3.238635951323051
2017-10-24 21:00:00,etth1,HUFL,96,42,sarima,3.1992264189879265
2017-10-24 22:00:00,etth1,HUFL,96,42,sarima,3.309582020454377
2017-10-24 23:00:00,etth1,HUFL,96,42,sarima,3.3108962128040402
2017-10-25 00:00:00,etth1,HUFL,96,42,sarima,3.2977710622398964
2017-10-25 01:00:00,etth1,HUFL,96,42,sarima,3.405639867235648
2017-10-25 02:00:00,etth1,HUFL,96,42,sarima,3.264022585721685
2017-10-25 03:00:00,etth1,HUFL,96,42,sarima,3.2392539507001366
2017-10-25 04:00:00,etth1,HUFL,96,42,sarima,3.261907449925129
2017-10-25 05:00:00,etth1,HUFL,96,42,sarima,3.293984916783593
2017-10-25 06:00:00,etth1,HUFL,96,42,sarima,3.3353131847679087
2017-10-25 07:00:00,etth1,HUFL,96,42,sarima,3.3631064109082938
2017-10-25 08:00:00,etth1,HUFL,96,42,sarima,3.435103869829547
2017-10-25 09:00:00,etth1,HUFL,96,42,sarima,3.5087550571783246
2017-10-25 10:00:00,etth1,HUFL,96,42,sarima,3.6561916643052115
2017-10-25 11:00:00,etth1,HUFL,96,42,sarima,3.9147867639482796
2017-10-25 12:00:00,etth1,HUFL,96,42,sarima,4.136955134459176
2017-10-25 13:00:00,etth1,HUFL,96,42,sarima,4.390189550071441
2017-10-25 14:00:00,etth1,HUFL,96,42,sarima,4.64806049722399
2017-10-25 15:00:00,etth1,HUFL,96,42,sarima,3.3190036215470466
2017-10-25 16:00:00,etth1,HUFL,96,42,sarima,4.146794806032178
2017-10-25 17:00:00,etth1,HUFL,96,42,sarima,2.985173870004356
2017-10-25 18:00:00,etth1,HUFL,96,42,sarima,3.0582269170252894
2017-10-25 19:00:00,etth1,HUFL,96,42,sarima,3.0640337377457
2017-10-25 20:00:00,etth1,HUFL,96,42,sarima,3.057461198000509
2017-10-25 21:00:00,etth1,HUFL,96,42,sarima,3.062219652180906
2017-10-25 22:00:00,etth1,HUFL,96,42,sarima,3.070360556310733
2017-10-25 23:00:00,etth1,HUFL,96,42,sarima,3.2534264768344627
2017-10-26 00:00:00,etth1,HUFL,96,42,sarima,3.168487652519319
2017-10-26 01:00:00,etth1,HUFL,96,42,sarima,3.2217646672105373
2017-10-26 02:00:00,etth1,HUFL,96,42,sarima,3.1850722261355746
2017-10-26 03:00:00,etth1,HUFL,96,42,sarima,3.2094653168292218
