dataset,target,horizon,max_depth,n_estimators,learning_rate,val_MAE,fit_time_s
etth1,HUFL,24,4,500,0.05,3.805767560565805,5.026551958000027
etth1,HUFL,24,4,500,0.1,3.9693482770831836,5.204563255000039
etth1,HUFL,24,4,1000,0.05,3.9120024688629425,8.750573567999936
etth1,HUFL,24,4,1000,0.1,4.075356190316544,8.371568769000078
etth1,HUFL,24,6,500,0.05,3.9196538013025375,7.814895950999926
etth1,HUFL,24,6,500,0.1,3.9852464067021387,6.721301266999944
etth1,HUFL,24,6,1000,0.05,3.959506689247522,13.666420087999995
etth1,HUFL,24,6,1000,0.1,4.00979805310334,11.996340204000035
ecl,aggregate_load,24,4,500,0.05,24371.56250578855,5.600884241999665
ecl,aggregate_load,24,4,500,0.1,23957.372258738316,5.542979550999917
ecl,aggregate_load,24,4,1000,0.05,23848.94553108961,9.153655405000336
ecl,aggregate_load,24,4,1000,0.1,23766.063151708993,9.25833742299983
ecl,aggregate_load,24,6,500,0.05,23426.37782886308,8.21660236300022
ecl,aggregate_load,24,6,500,0.1,23549.739780121898,8.332383329000095
ecl,aggregate_load,24,6,1000,0.05,23264.908582096847,14.72695830099974
ecl,aggregate_load,24,6,1000,0.1,23523.271481709307,14.588784557000054
ecl,aggregate_load,96,4,500,0.05,29493.607513773095,22.41595650499994
ecl,aggregate_load,96,4,500,0.1,29924.366411623807,21.94664129099965
ecl,aggregate_load,96,4,1000,0.05,29827.85974902702,38.58970043799991
ecl,aggregate_load,96,4,1000,0.1,30358.03843974058,38.24467733099982
ecl,aggregate_load,96,6,500,0.05,30059.000046219917,33.45836187899977
ecl,aggregate_load,96,6,500,0.1,30674.822849445438,32.657877125999676
ecl,aggregate_load,96,6,1000,0.05,30267.51173216843,59.762305191999985
ecl,aggregate_load,96,6,1000,0.1,30838.687640855882,59.213645687999815
ecl,aggregate_load,168,4,500,0.05,32998.89426349789,38.69941502899974
ecl,aggregate_load,168,4,500,0.1,33803.806730381286,38.15134564200025
ecl,aggregate_load,168,4,1000,0.05,33637.6565641537,66.0819361910003
ecl,aggregate_load,168,4,1000,0.1,34508.57499182056,65.888456959
ecl,aggregate_load,168,6,500,0.05,34236.35188645794,57.202455439999994
ecl,aggregate_load,168,6,500,0.1,35063.83272059407,56.9158452519996
ecl,aggregate_load,168,6,1000,0.05,34663.38004634692,103.76969453500033
ecl,aggregate_load,168,6,1000,0.1,35337.95324085659,103.13695627600009
etth1,HUFL,24,4,500,0.05,3.805767560565805,4.422500018999926
etth1,HUFL,24,4,500,0.1,3.9693482770831836,4.559766800000034
etth1,HUFL,24,4,1000,0.05,3.9120024688629425,7.553976791999958
etth1,HUFL,24,4,1000,0.1,4.075356190316544,7.666454909999629
etth1,HUFL,24,6,500,0.05,3.9196538013025375,6.720949716000177
etth1,HUFL,24,6,500,0.1,3.9852464067021387,6.807036663999497
etth1,HUFL,24,6,1000,0.05,3.959506689247522,12.337960938999458
etth1,HUFL,24,6,1000,0.1,4.00979805310334,12.75174757700006
etth1,HUFL,96,4,500,0.05,4.223168202952852,18.148652500000026
etth1,HUFL,96,4,500,0.1,4.384672651656182,18.061928996999995
etth1,HUFL,96,4,1000,0.05,4.338011438858249,29.976922021000064
etth1,HUFL,96,4,1000,0.1,4.490499236330222,30.367704857000717
etth1,HUFL,96,6,500,0.05,4.270895733831266,27.33358100299938
etth1,HUFL,96,6,500,0.1,4.378934933715772,27.852456683000128
etth1,HUFL,96,6,1000,0.05,4.315081284646088,50.02059617000032
etth1,HUFL,96,6,1000,0.1,4.40189114004748,51.05279078700005
etth1,HUFL,168,4,500,0.05,4.377552574151408,31.39439847599988
etth1,HUFL,168,4,500,0.1,4.529647726780788,31.28766466900015
etth1,HUFL,168,4,1000,0.05,4.487024837689703,52.02349003699965
etth1,HUFL,168,4,1000,0.1,4.625404346492558,52.97405964100017
etth1,HUFL,168,6,500,0.05,4.415783394177447,48.662580401000014
etth1,HUFL,168,6,500,0.1,4.513536160382988,50.21170799799984
etth1,HUFL,168,6,1000,0.05,4.4559534388162945,89.2004211909998
etth1,HUFL,168,6,1000,0.1,4.537500580285607,89.87680363900017
