origin,dataset,target,horizon,seed,model,abs_error
1970-01-01 00:00:00.000000054,ecl,aggregate_load,24,42,dlinear,281528.43004203297
1970-01-01 00:00:00.000000055,ecl,aggregate_load,24,42,dlinear,262748.2900410366
1970-01-01 00:00:00.000000056,ecl,aggregate_load,24,42,dlinear,273689.1657428067
1970-01-01 00:00:00.000000057,ecl,aggregate_load,24,42,dlinear,284617.6690778472
1970-01-01 00:00:00.000000058,ecl,aggregate_load,24,42,dlinear,258013.31000649105
1970-01-01 00:00:00.000000059,ecl,aggregate_load,24,42,dlinear,297346.6564347163
1970-01-01 00:00:00.000000060,ecl,aggregate_load,24,42,dlinear,282775.8934231486
1970-01-01 00:00:00.000000061,ecl,aggregate_load,24,42,dlinear,283317.1703044776
1970-01-01 00:00:00.000000062,ecl,aggregate_load,24,42,dlinear,287193.48012015026
1970-01-01 00:00:00.000000063,ecl,aggregate_load,24,42,dlinear,253679.33475832903
1970-01-01 00:00:00.000000064,ecl,aggregate_load,24,42,dlinear,300292.0973694505
1970-01-01 00:00:00.000000065,ecl,aggregate_load,24,42,dlinear,303493.1500831128
1970-01-01 00:00:00.000000066,ecl,aggregate_load,24,42,dlinear,298277.85843447706
1970-01-01 00:00:00.000000067,ecl,aggregate_load,24,42,dlinear,280909.1344382692
1970-01-01 00:00:00.000000068,ecl,aggregate_load,24,42,dlinear,270747.95895500603
1970-01-01 00:00:00.000000069,ecl,aggregate_load,24,42,dlinear,250587.45330065992
1970-01-01 00:00:00.000000070,ecl,aggregate_load,24,42,dlinear,250520.38360726577
1970-01-01 00:00:00.000000071,ecl,aggregate_load,24,42,dlinear,241175.33975616875
1970-01-01 00:00:00.000000072,ecl,aggregate_load,24,42,dlinear,240686.18052493618
1970-01-01 00:00:00.000000073,ecl,aggregate_load,24,42,dlinear,245294.34865593503
1970-01-01 00:00:00.000000074,ecl,aggregate_load,24,42,dlinear,230107.23267318206
1970-01-01 00:00:00.000000075,ecl,aggregate_load,24,42,dlinear,235289.14269424268
1970-01-01 00:00:00.000000076,ecl,aggregate_load,24,42,dlinear,231136.51438761086
1970-01-01 00:00:00.000000077,ecl,aggregate_load,24,42,dlinear,240325.6200077715
1970-01-01 00:00:00.000000078,ecl,aggregate_load,24,42,dlinear,227927.80822181306
1970-01-01 00:00:00.000000079,ecl,aggregate_load,24,42,dlinear,246163.35422552066
1970-01-01 00:00:00.000000080,ecl,aggregate_load,24,42,dlinear,256499.20987851574
1970-01-01 00:00:00.000000081,ecl,aggregate_load,24,42,dlinear,272032.2170982765
1970-01-01 00:00:00.000000082,ecl,aggregate_load,24,42,dlinear,257000.21768140316
1970-01-01 00:00:00.000000083,ecl,aggregate_load,24,42,dlinear,264407.25919265917
1970-01-01 00:00:00.000000084,ecl,aggregate_load,24,42,dlinear,223529.17988379925
1970-01-01 00:00:00.000000085,ecl,aggregate_load,24,42,dlinear,188643.57192412476
1970-01-01 00:00:00.000000086,ecl,aggregate_load,24,42,dlinear,183736.7851650364
1970-01-01 00:00:00.000000087,ecl,aggregate_load,24,42,dlinear,219260.9501287315
1970-01-01 00:00:00.000000088,ecl,aggregate_load,24,42,dlinear,262737.73923951713
1970-01-01 00:00:00.000000089,ecl,aggregate_load,24,42,dlinear,261540.1656842762
1970-01-01 00:00:00.000000090,ecl,aggregate_load,24,42,dlinear,234295.08387905534
1970-01-01 00:00:00.000000091,ecl,aggregate_load,24,42,dlinear,214256.4739504248
1970-01-01 00:00:00.000000092,ecl,aggregate_load,24,42,dlinear,215584.14002317583
1970-01-01 00:00:00.000000093,ecl,aggregate_load,24,42,dlinear,201164.43619999336
1970-01-01 00:00:00.000000094,ecl,aggregate_load,24,42,dlinear,192670.6775567525
1970-01-01 00:00:00.000000095,ecl,aggregate_load,24,42,dlinear,179964.38487074018
1970-01-01 00:00:00.000000096,ecl,aggregate_load,24,42,dlinear,160064.91558789316
1970-01-01 00:00:00.000000097,ecl,aggregate_load,24,42,dlinear,119152.18826770123
1970-01-01 00:00:00.000000098,ecl,aggregate_load,24,42,dlinear,128302.19636790088
1970-01-01 00:00:00.000000099,ecl,aggregate_load,24,42,dlinear,134218.4309210183
1970-01-01 00:00:00.000000100,ecl,aggregate_load,24,42,dlinear,124800.75934116005
1970-01-01 00:00:00.000000101,ecl,aggregate_load,24,42,dlinear,136971.66696381985
1970-01-01 00:00:00.000000102,ecl,aggregate_load,24,42,dlinear,166049.11893804852
1970-01-01 00:00:00.000000103,ecl,aggregate_load,24,42,dlinear,167071.6908737396
1970-01-01 00:00:00.000000104,ecl,aggregate_load,24,42,dlinear,150881.50826182257
1970-01-01 00:00:00.000000105,ecl,aggregate_load,24,42,dlinear,183558.8319008863
1970-01-01 00:00:00.000000106,ecl,aggregate_load,24,42,dlinear,192670.32049932046
1970-01-01 00:00:00.000000107,ecl,aggregate_load,24,42,dlinear,212125.85369339073
1970-01-01 00:00:00.000000108,ecl,aggregate_load,24,42,dlinear,219697.7583993973
1970-01-01 00:00:00.000000110,ecl,aggregate_load,24,42,dlinear,206645.31738275255
