origin,dataset,target,horizon,seed,model,abs_error
1970-01-01 00:00:00.000000054,ecl,aggregate_load,24,42,itransformer,306725.05538619426
1970-01-01 00:00:00.000000055,ecl,aggregate_load,24,42,itransformer,300037.29670666036
1970-01-01 00:00:00.000000056,ecl,aggregate_load,24,42,itransformer,279802.1353189688
1970-01-01 00:00:00.000000057,ecl,aggregate_load,24,42,itransformer,289075.69645050145
1970-01-01 00:00:00.000000058,ecl,aggregate_load,24,42,itransformer,265191.63346979674
1970-01-01 00:00:00.000000059,ecl,aggregate_load,24,42,itransformer,304845.7253169891
1970-01-01 00:00:00.000000060,ecl,aggregate_load,24,42,itransformer,294974.0151266636
1970-01-01 00:00:00.000000061,ecl,aggregate_load,24,42,itransformer,289627.1468220692
1970-01-01 00:00:00.000000062,ecl,aggregate_load,24,42,itransformer,302780.33579951676
1970-01-01 00:00:00.000000063,ecl,aggregate_load,24,42,itransformer,264013.49035243917
1970-01-01 00:00:00.000000064,ecl,aggregate_load,24,42,itransformer,309026.6518272039
1970-01-01 00:00:00.000000065,ecl,aggregate_load,24,42,itransformer,314508.24384060793
1970-01-01 00:00:00.000000066,ecl,aggregate_load,24,42,itransformer,306297.32105402654
1970-01-01 00:00:00.000000067,ecl,aggregate_load,24,42,itransformer,289480.56700503785
1970-01-01 00:00:00.000000068,ecl,aggregate_load,24,42,itransformer,277911.25597498054
1970-01-01 00:00:00.000000069,ecl,aggregate_load,24,42,itransformer,257500.84485764627
1970-01-01 00:00:00.000000070,ecl,aggregate_load,24,42,itransformer,256978.55407038672
1970-01-01 00:00:00.000000071,ecl,aggregate_load,24,42,itransformer,246312.51962216012
1970-01-01 00:00:00.000000072,ecl,aggregate_load,24,42,itransformer,239543.65684674293
1970-01-01 00:00:00.000000073,ecl,aggregate_load,24,42,itransformer,248507.05001482173
1970-01-01 00:00:00.000000074,ecl,aggregate_load,24,42,itransformer,235376.62812838258
1970-01-01 00:00:00.000000075,ecl,aggregate_load,24,42,itransformer,247657.5095382032
1970-01-01 00:00:00.000000076,ecl,aggregate_load,24,42,itransformer,239334.6532682817
1970-01-01 00:00:00.000000077,ecl,aggregate_load,24,42,itransformer,252708.29633073192
1970-01-01 00:00:00.000000078,ecl,aggregate_load,24,42,itransformer,240981.71234144463
1970-01-01 00:00:00.000000079,ecl,aggregate_load,24,42,itransformer,248294.6173016113
1970-01-01 00:00:00.000000080,ecl,aggregate_load,24,42,itransformer,267784.8708945829
1970-01-01 00:00:00.000000081,ecl,aggregate_load,24,42,itransformer,277818.3539793609
1970-01-01 00:00:00.000000082,ecl,aggregate_load,24,42,itransformer,266399.76692800893
1970-01-01 00:00:00.000000083,ecl,aggregate_load,24,42,itransformer,266829.5044593821
1970-01-01 00:00:00.000000084,ecl,aggregate_load,24,42,itransformer,244607.05174471633
1970-01-01 00:00:00.000000085,ecl,aggregate_load,24,42,itransformer,207129.2899989219
1970-01-01 00:00:00.000000086,ecl,aggregate_load,24,42,itransformer,205384.2290070843
1970-01-01 00:00:00.000000087,ecl,aggregate_load,24,42,itransformer,245932.05543396893
1970-01-01 00:00:00.000000088,ecl,aggregate_load,24,42,itransformer,270325.83651573316
1970-01-01 00:00:00.000000089,ecl,aggregate_load,24,42,itransformer,270375.58447467803
1970-01-01 00:00:00.000000090,ecl,aggregate_load,24,42,itransformer,244117.01007044892
1970-01-01 00:00:00.000000091,ecl,aggregate_load,24,42,itransformer,231766.7268341853
1970-01-01 00:00:00.000000092,ecl,aggregate_load,24,42,itransformer,239984.4639988144
1970-01-01 00:00:00.000000093,ecl,aggregate_load,24,42,itransformer,225153.64857342353
1970-01-01 00:00:00.000000094,ecl,aggregate_load,24,42,itransformer,212721.3383457205
1970-01-01 00:00:00.000000095,ecl,aggregate_load,24,42,itransformer,195126.37727315302
1970-01-01 00:00:00.000000096,ecl,aggregate_load,24,42,itransformer,180919.17852550317
1970-01-01 00:00:00.000000097,ecl,aggregate_load,24,42,itransformer,148161.5931275463
1970-01-01 00:00:00.000000098,ecl,aggregate_load,24,42,itransformer,142458.0474609402
1970-01-01 00:00:00.000000099,ecl,aggregate_load,24,42,itransformer,152725.36994723245
1970-01-01 00:00:00.000000100,ecl,aggregate_load,24,42,itransformer,138185.0444618657
1970-01-01 00:00:00.000000101,ecl,aggregate_load,24,42,itransformer,158212.09646446502
1970-01-01 00:00:00.000000102,ecl,aggregate_load,24,42,itransformer,175764.7809475606
1970-01-01 00:00:00.000000103,ecl,aggregate_load,24,42,itransformer,191261.34394979186
1970-01-01 00:00:00.000000104,ecl,aggregate_load,24,42,itransformer,161934.1188152102
1970-01-01 00:00:00.000000105,ecl,aggregate_load,24,42,itransformer,197311.25605234844
1970-01-01 00:00:00.000000106,ecl,aggregate_load,24,42,itransformer,216187.54311651268
1970-01-01 00:00:00.000000107,ecl,aggregate_load,24,42,itransformer,225578.49539229405
1970-01-01 00:00:00.000000108,ecl,aggregate_load,24,42,itransformer,226102.4893841966
1970-01-01 00:00:00.000000110,ecl,aggregate_load,24,42,itransformer,216704.12677267983
