origin,dataset,target,horizon,seed,model,abs_error
1970-01-01 00:00:00.000000054,ecl,aggregate_load,96,42,patchtst,355968.97517795966
1970-01-01 00:00:00.000000055,ecl,aggregate_load,96,42,patchtst,306152.0512998386
1970-01-01 00:00:00.000000056,ecl,aggregate_load,96,42,patchtst,277084.5963106534
1970-01-01 00:00:00.000000057,ecl,aggregate_load,96,42,patchtst,264540.2127500717
1970-01-01 00:00:00.000000058,ecl,aggregate_load,96,42,patchtst,259656.59583665596
1970-01-01 00:00:00.000000059,ecl,aggregate_load,96,42,patchtst,317063.27928560355
1970-01-01 00:00:00.000000060,ecl,aggregate_load,96,42,patchtst,302781.4400063714
1970-01-01 00:00:00.000000061,ecl,aggregate_load,96,42,patchtst,285332.31153151835
1970-01-01 00:00:00.000000062,ecl,aggregate_load,96,42,patchtst,290382.504188312
1970-01-01 00:00:00.000000063,ecl,aggregate_load,96,42,patchtst,288126.8180719392
1970-01-01 00:00:00.000000064,ecl,aggregate_load,96,42,patchtst,303256.0218782035
1970-01-01 00:00:00.000000065,ecl,aggregate_load,96,42,patchtst,305550.1635813651
1970-01-01 00:00:00.000000066,ecl,aggregate_load,96,42,patchtst,297961.7286908942
1970-01-01 00:00:00.000000067,ecl,aggregate_load,96,42,patchtst,281688.86768732965
1970-01-01 00:00:00.000000068,ecl,aggregate_load,96,42,patchtst,269069.1077710719
1970-01-01 00:00:00.000000069,ecl,aggregate_load,96,42,patchtst,252073.06844462376
1970-01-01 00:00:00.000000070,ecl,aggregate_load,96,42,patchtst,250919.60204705165
1970-01-01 00:00:00.000000071,ecl,aggregate_load,96,42,patchtst,243493.48988972546
1970-01-01 00:00:00.000000072,ecl,aggregate_load,96,42,patchtst,248642.5873444593
1970-01-01 00:00:00.000000073,ecl,aggregate_load,96,42,patchtst,235389.71686195274
1970-01-01 00:00:00.000000074,ecl,aggregate_load,96,42,patchtst,232435.8628127401
1970-01-01 00:00:00.000000075,ecl,aggregate_load,96,42,patchtst,234089.520253059
1970-01-01 00:00:00.000000076,ecl,aggregate_load,96,42,patchtst,238219.95041773154
1970-01-01 00:00:00.000000077,ecl,aggregate_load,96,42,patchtst,234186.58009090388
1970-01-01 00:00:00.000000078,ecl,aggregate_load,96,42,patchtst,241757.74817387213
1970-01-01 00:00:00.000000079,ecl,aggregate_load,96,42,patchtst,261609.08463679865
1970-01-01 00:00:00.000000080,ecl,aggregate_load,96,42,patchtst,268628.6399198233
1970-01-01 00:00:00.000000081,ecl,aggregate_load,96,42,patchtst,271472.9953783091
1970-01-01 00:00:00.000000082,ecl,aggregate_load,96,42,patchtst,264982.45549567335
1970-01-01 00:00:00.000000083,ecl,aggregate_load,96,42,patchtst,250845.04746288795
1970-01-01 00:00:00.000000084,ecl,aggregate_load,96,42,patchtst,228575.20620107985
1970-01-01 00:00:00.000000085,ecl,aggregate_load,96,42,patchtst,237738.0379504735
1970-01-01 00:00:00.000000086,ecl,aggregate_load,96,42,patchtst,242138.83259665812
1970-01-01 00:00:00.000000087,ecl,aggregate_load,96,42,patchtst,257272.24723583795
1970-01-01 00:00:00.000000088,ecl,aggregate_load,96,42,patchtst,257517.83016261298
1970-01-01 00:00:00.000000089,ecl,aggregate_load,96,42,patchtst,250665.07134104506
1970-01-01 00:00:00.000000090,ecl,aggregate_load,96,42,patchtst,227181.09670133275
1970-01-01 00:00:00.000000091,ecl,aggregate_load,96,42,patchtst,212362.83250608
1970-01-01 00:00:00.000000092,ecl,aggregate_load,96,42,patchtst,195263.3204298223
1970-01-01 00:00:00.000000093,ecl,aggregate_load,96,42,patchtst,184484.48052799638
1970-01-01 00:00:00.000000094,ecl,aggregate_load,96,42,patchtst,172265.01427818375
1970-01-01 00:00:00.000000095,ecl,aggregate_load,96,42,patchtst,159569.3776670583
1970-01-01 00:00:00.000000096,ecl,aggregate_load,96,42,patchtst,150147.3261273791
1970-01-01 00:00:00.000000097,ecl,aggregate_load,96,42,patchtst,140542.2407831131
1970-01-01 00:00:00.000000098,ecl,aggregate_load,96,42,patchtst,143608.69262685548
1970-01-01 00:00:00.000000099,ecl,aggregate_load,96,42,patchtst,152052.06729874382
1970-01-01 00:00:00.000000100,ecl,aggregate_load,96,42,patchtst,156487.91848222277
