origin,dataset,target,horizon,seed,model,abs_error
2017-10-23 23:00:00,etth1,HUFL,168,42,patchtst,2.9179172677786807
2017-10-24 00:00:00,etth1,HUFL,168,42,patchtst,3.040616958191145
2017-10-24 01:00:00,etth1,HUFL,168,42,patchtst,3.0226163687150116
2017-10-24 02:00:00,etth1,HUFL,168,42,patchtst,3.0900665148137696
2017-10-24 03:00:00,etth1,HUFL,168,42,patchtst,2.9493881399451802
2017-10-24 04:00:00,etth1,HUFL,168,42,patchtst,2.801335028709811
2017-10-24 05:00:00,etth1,HUFL,168,42,patchtst,2.7197383488465903
2017-10-24 06:00:00,etth1,HUFL,168,42,patchtst,2.7561645260150875
2017-10-24 07:00:00,etth1,HUFL,168,42,patchtst,2.8224651945397063
2017-10-24 08:00:00,etth1,HUFL,168,42,patchtst,2.574966419547911
2017-10-24 09:00:00,etth1,HUFL,168,42,patchtst,2.8713355072478737
2017-10-24 10:00:00,etth1,HUFL,168,42,patchtst,3.2525743660014608
2017-10-24 11:00:00,etth1,HUFL,168,42,patchtst,3.6421064331490887
2017-10-24 12:00:00,etth1,HUFL,168,42,patchtst,3.7817170616419196
2017-10-24 13:00:00,etth1,HUFL,168,42,patchtst,3.807553356114726
2017-10-24 14:00:00,etth1,HUFL,168,42,patchtst,3.5976408365556347
2017-10-24 15:00:00,etth1,HUFL,168,42,patchtst,3.4349425147174566
2017-10-24 16:00:00,etth1,HUFL,168,42,patchtst,3.236840634267333
2017-10-24 17:00:00,etth1,HUFL,168,42,patchtst,2.9801201364251018
2017-10-24 18:00:00,etth1,HUFL,168,42,patchtst,3.034256123490609
2017-10-24 19:00:00,etth1,HUFL,168,42,patchtst,3.019996738451544
2017-10-24 20:00:00,etth1,HUFL,168,42,patchtst,3.0264957018021765
2017-10-24 21:00:00,etth1,HUFL,168,42,patchtst,3.221529368280571
2017-10-24 22:00:00,etth1,HUFL,168,42,patchtst,3.202269618843547
2017-10-24 23:00:00,etth1,HUFL,168,42,patchtst,3.15969448016281
2017-10-25 00:00:00,etth1,HUFL,168,42,patchtst,3.2738391864083574
2017-10-25 01:00:00,etth1,HUFL,168,42,patchtst,3.1139469708271035
2017-10-25 02:00:00,etth1,HUFL,168,42,patchtst,3.290764301324754
2017-10-25 03:00:00,etth1,HUFL,168,42,patchtst,3.242548210673317
2017-10-25 04:00:00,etth1,HUFL,168,42,patchtst,3.2426527715134847
2017-10-25 05:00:00,etth1,HUFL,168,42,patchtst,3.1445720585126216
2017-10-25 06:00:00,etth1,HUFL,168,42,patchtst,3.0283222417087368
2017-10-25 07:00:00,etth1,HUFL,168,42,patchtst,3.0874595571476573
2017-10-25 08:00:00,etth1,HUFL,168,42,patchtst,3.0841442354082846
2017-10-25 09:00:00,etth1,HUFL,168,42,patchtst,3.34782405588483
2017-10-25 10:00:00,etth1,HUFL,168,42,patchtst,3.648688282613514
2017-10-25 11:00:00,etth1,HUFL,168,42,patchtst,4.255449318198901
2017-10-25 12:00:00,etth1,HUFL,168,42,patchtst,4.591723239499477
2017-10-25 13:00:00,etth1,HUFL,168,42,patchtst,4.72812725372323
2017-10-25 14:00:00,etth1,HUFL,168,42,patchtst,3.3833987442238382
2017-10-25 15:00:00,etth1,HUFL,168,42,patchtst,3.638885045813632
2017-10-25 16:00:00,etth1,HUFL,168,42,patchtst,3.1593279876816833
2017-10-25 17:00:00,etth1,HUFL,168,42,patchtst,3.0429741322188515
2017-10-25 18:00:00,etth1,HUFL,168,42,patchtst,3.0321762330933004
2017-10-25 19:00:00,etth1,HUFL,168,42,patchtst,2.970025572306545
