origin,dataset,target,horizon,seed,model,abs_error
2017-10-23 23:00:00,etth1,HUFL,24,42,itransformer,3.950638223426946
2017-10-24 00:00:00,etth1,HUFL,24,42,itransformer,4.175882933205315
2017-10-24 01:00:00,etth1,HUFL,24,42,itransformer,3.250170012662496
2017-10-24 02:00:00,etth1,HUFL,24,42,itransformer,3.975804943189928
2017-10-24 03:00:00,etth1,HUFL,24,42,itransformer,4.470657239152871
2017-10-24 04:00:00,etth1,HUFL,24,42,itransformer,4.753715626193834
2017-10-24 05:00:00,etth1,HUFL,24,42,itransformer,4.465168458904287
2017-10-24 06:00:00,etth1,HUFL,24,42,itransformer,4.389297140052372
2017-10-24 07:00:00,etth1,HUFL,24,42,itransformer,3.8082575804899945
2017-10-24 08:00:00,etth1,HUFL,24,42,itransformer,2.473797875307933
2017-10-24 09:00:00,etth1,HUFL,24,42,itransformer,1.7288772959846408
2017-10-24 10:00:00,etth1,HUFL,24,42,itransformer,1.9683363445079483
2017-10-24 11:00:00,etth1,HUFL,24,42,itransformer,2.2061864380802603
2017-10-24 12:00:00,etth1,HUFL,24,42,itransformer,2.456116847920488
2017-10-24 13:00:00,etth1,HUFL,24,42,itransformer,2.823228837925283
2017-10-24 14:00:00,etth1,HUFL,24,42,itransformer,2.556024746557714
2017-10-24 15:00:00,etth1,HUFL,24,42,itransformer,2.8043446133936887
2017-10-24 16:00:00,etth1,HUFL,24,42,itransformer,2.7746367786833854
2017-10-24 17:00:00,etth1,HUFL,24,42,itransformer,2.643853627445139
2017-10-24 18:00:00,etth1,HUFL,24,42,itransformer,2.599512235871643
2017-10-24 19:00:00,etth1,HUFL,24,42,itransformer,2.713760574122908
2017-10-24 20:00:00,etth1,HUFL,24,42,itransformer,2.6556787881195123
2017-10-24 21:00:00,etth1,HUFL,24,42,itransformer,2.707635590333164
2017-10-24 22:00:00,etth1,HUFL,24,42,itransformer,2.7588559590016533
2017-10-24 23:00:00,etth1,HUFL,24,42,itransformer,2.6457901127639256
