origin,dataset,target,horizon,seed,model,abs_error
2017-10-24 00:00:00,etth1,HUFL,24,42,timesfm,4.055950829138358
2017-10-24 01:00:00,etth1,HUFL,24,42,timesfm,4.20854239538312
2017-10-24 02:00:00,etth1,HUFL,24,42,timesfm,3.992454348752896
2017-10-24 03:00:00,etth1,HUFL,24,42,timesfm,4.130094298472007
2017-10-24 04:00:00,etth1,HUFL,24,42,timesfm,3.9547981806099415
2017-10-24 05:00:00,etth1,HUFL,24,42,timesfm,3.9696554032464824
2017-10-24 06:00:00,etth1,HUFL,24,42,timesfm,3.773979583134254
2017-10-24 07:00:00,etth1,HUFL,24,42,timesfm,3.914571979393562
2017-10-24 08:00:00,etth1,HUFL,24,42,timesfm,3.172159561266502
2017-10-24 09:00:00,etth1,HUFL,24,42,timesfm,2.288660457978646
2017-10-24 10:00:00,etth1,HUFL,24,42,timesfm,2.0300654657185073
2017-10-24 11:00:00,etth1,HUFL,24,42,timesfm,2.5045643833776317
2017-10-24 12:00:00,etth1,HUFL,24,42,timesfm,2.926478672772646
2017-10-24 13:00:00,etth1,HUFL,24,42,timesfm,3.5113024599850178
2017-10-24 14:00:00,etth1,HUFL,24,42,timesfm,4.157612590740125
2017-10-24 15:00:00,etth1,HUFL,24,42,timesfm,4.300505408396323
2017-10-24 16:00:00,etth1,HUFL,24,42,timesfm,4.855987507849932
2017-10-24 17:00:00,etth1,HUFL,24,42,timesfm,4.237258980671565
2017-10-24 18:00:00,etth1,HUFL,24,42,timesfm,3.5183044970035553
2017-10-24 19:00:00,etth1,HUFL,24,42,timesfm,3.6990492244561515
2017-10-24 20:00:00,etth1,HUFL,24,42,timesfm,3.708175222078959
2017-10-24 21:00:00,etth1,HUFL,24,42,timesfm,3.895284523566564
2017-10-24 22:00:00,etth1,HUFL,24,42,timesfm,3.6462299724419913
2017-10-24 23:00:00,etth1,HUFL,24,42,timesfm,3.7747715512911477
2017-10-25 00:00:00,etth1,HUFL,24,42,timesfm,3.5161278347174325
2017-10-25 01:00:00,etth1,HUFL,24,42,timesfm,3.7303700149059296
2017-10-25 02:00:00,etth1,HUFL,24,42,timesfm,3.8871249159177146
2017-10-25 03:00:00,etth1,HUFL,24,42,timesfm,3.8353925744692483
2017-10-25 04:00:00,etth1,HUFL,24,42,timesfm,3.7879308660825095
2017-10-25 05:00:00,etth1,HUFL,24,42,timesfm,3.9236527184645333
2017-10-25 06:00:00,etth1,HUFL,24,42,timesfm,3.730523645877838
2017-10-25 07:00:00,etth1,HUFL,24,42,timesfm,4.072712977727254
2017-10-25 08:00:00,etth1,HUFL,24,42,timesfm,3.861817051966985
2017-10-25 09:00:00,etth1,HUFL,24,42,timesfm,2.810216546058655
2017-10-25 10:00:00,etth1,HUFL,24,42,timesfm,2.8231067458788552
2017-10-25 11:00:00,etth1,HUFL,24,42,timesfm,2.6898288826147714
2017-10-25 12:00:00,etth1,HUFL,24,42,timesfm,2.83675650258859
2017-10-25 13:00:00,etth1,HUFL,24,42,timesfm,2.909833346803983
2017-10-25 14:00:00,etth1,HUFL,24,42,timesfm,3.0493682672580085
2017-10-25 15:00:00,etth1,HUFL,24,42,timesfm,2.8419850021600723
2017-10-25 16:00:00,etth1,HUFL,24,42,timesfm,2.669763440887133
2017-10-25 17:00:00,etth1,HUFL,24,42,timesfm,2.5757380748788514
2017-10-25 18:00:00,etth1,HUFL,24,42,timesfm,2.3266408468286195
2017-10-25 19:00:00,etth1,HUFL,24,42,timesfm,2.334791732331117
2017-10-25 20:00:00,etth1,HUFL,24,42,timesfm,2.2510501171151795
2017-10-25 21:00:00,etth1,HUFL,24,42,timesfm,2.2909205878774324
2017-10-25 22:00:00,etth1,HUFL,24,42,timesfm,2.179771028459072
2017-10-25 23:00:00,etth1,HUFL,24,42,timesfm,1.9519803052147229
2017-10-26 00:00:00,etth1,HUFL,24,42,timesfm,1.9260513906677563
2017-10-26 01:00:00,etth1,HUFL,24,42,timesfm,1.6928431615233421
2017-10-26 02:00:00,etth1,HUFL,24,42,timesfm,1.8265671357512474
2017-10-26 03:00:00,etth1,HUFL,24,42,timesfm,1.8444576784968376
2017-10-26 04:00:00,etth1,HUFL,24,42,timesfm,1.8028860116998355
2017-10-26 05:00:00,etth1,HUFL,24,42,timesfm,1.8633008326093357
2017-10-26 06:00:00,etth1,HUFL,24,42,timesfm,1.9320932949582736
2017-10-26 07:00:00,etth1,HUFL,24,42,timesfm,2.1426005388299623
2017-10-26 08:00:00,etth1,HUFL,24,42,timesfm,1.985681874056657
2017-10-26 09:00:00,etth1,HUFL,24,42,timesfm,1.8768561507264774
2017-10-26 10:00:00,etth1,HUFL,24,42,timesfm,2.5172338311870894
2017-10-26 11:00:00,etth1,HUFL,24,42,timesfm,2.297517769038677
2017-10-26 12:00:00,etth1,HUFL,24,42,timesfm,2.931461917857329
2017-10-26 13:00:00,etth1,HUFL,24,42,timesfm,1.5505826249718666
2017-10-26 14:00:00,etth1,HUFL,24,42,timesfm,1.836356468498707
2017-10-26 15:00:00,etth1,HUFL,24,42,timesfm,1.36720168714722
2017-10-26 16:00:00,etth1,HUFL,24,42,timesfm,1.2681386036177478
2017-10-26 17:00:00,etth1,HUFL,24,42,timesfm,1.4163438268005848
