origin,dataset,target,horizon,seed,model,abs_error
2017-10-24 00:00:00,etth1,HUFL,96,43,xgboost,5.312303987443296
2017-10-24 01:00:00,etth1,HUFL,96,43,xgboost,5.321532276305734
2017-10-24 02:00:00,etth1,HUFL,96,43,xgboost,5.253965457403078
2017-10-24 03:00:00,etth1,HUFL,96,43,xgboost,5.22686505336879
2017-10-24 04:00:00,etth1,HUFL,96,43,xgboost,5.256062716116517
2017-10-24 05:00:00,etth1,HUFL,96,43,xgboost,5.2636177971530795
2017-10-24 06:00:00,etth1,HUFL,96,43,xgboost,5.294091551969877
2017-10-24 07:00:00,etth1,HUFL,96,43,xgboost,5.3879183647715
2017-10-24 08:00:00,etth1,HUFL,96,43,xgboost,5.0954506289267725
2017-10-24 09:00:00,etth1,HUFL,96,43,xgboost,4.417864317949554
2017-10-24 10:00:00,etth1,HUFL,96,43,xgboost,4.130573412836998
2017-10-24 11:00:00,etth1,HUFL,96,43,xgboost,3.7415304529935463
2017-10-24 12:00:00,etth1,HUFL,96,43,xgboost,3.609332084224332
2017-10-24 13:00:00,etth1,HUFL,96,43,xgboost,3.834369683692259
2017-10-24 14:00:00,etth1,HUFL,96,43,xgboost,4.276821779720815
2017-10-24 15:00:00,etth1,HUFL,96,43,xgboost,4.338734365953031
2017-10-24 16:00:00,etth1,HUFL,96,43,xgboost,4.776150978267405
2017-10-24 17:00:00,etth1,HUFL,96,43,xgboost,4.75370981209886
2017-10-24 18:00:00,etth1,HUFL,96,43,xgboost,4.744702735644752
2017-10-24 19:00:00,etth1,HUFL,96,43,xgboost,4.633192756350261
2017-10-24 20:00:00,etth1,HUFL,96,43,xgboost,4.6668823853047305
2017-10-24 21:00:00,etth1,HUFL,96,43,xgboost,4.697840543781836
2017-10-24 22:00:00,etth1,HUFL,96,43,xgboost,4.726248990412889
2017-10-24 23:00:00,etth1,HUFL,96,43,xgboost,4.855591074802075
2017-10-25 00:00:00,etth1,HUFL,96,43,xgboost,4.759195464682644
2017-10-25 01:00:00,etth1,HUFL,96,43,xgboost,4.808393716126637
2017-10-25 02:00:00,etth1,HUFL,96,43,xgboost,4.827104811975823
2017-10-25 03:00:00,etth1,HUFL,96,43,xgboost,5.033503330527775
2017-10-25 04:00:00,etth1,HUFL,96,43,xgboost,5.109978316299771
2017-10-25 05:00:00,etth1,HUFL,96,43,xgboost,5.004346348302229
2017-10-25 06:00:00,etth1,HUFL,96,43,xgboost,4.923348957533629
2017-10-25 07:00:00,etth1,HUFL,96,43,xgboost,4.836429947937945
