origin,dataset,target,horizon,seed,model,abs_error
2020-02-09 23:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2854945447614377
2020-02-10 00:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.3044086316904189
2020-02-10 01:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.4028389964859649
2020-02-10 02:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2611297953875742
2020-02-10 03:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.1738536264099781
2020-02-10 04:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2126025342820341
2020-02-10 05:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2923674039833266
2020-02-10 06:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.213335313600884
2020-02-10 07:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2052329844342389
2020-02-10 08:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2816132899814168
2020-02-10 09:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.295402244920158
2020-02-10 10:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.3235021715053368
2020-02-10 11:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.304095082472563
2020-02-10 12:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2993396188073802
2020-02-10 13:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.2998840776252696
2020-02-10 14:00:00,synthetic,synthetic_load,24,42,chronos_bolt_small,1.3749109943276696
