origin,dataset,target,horizon,seed,model,abs_error
2020-02-09 23:00:00,synthetic,synthetic_load,24,42,timesfm,1.1688927964966496
2020-02-10 00:00:00,synthetic,synthetic_load,24,42,timesfm,1.2063594093921424
2020-02-10 01:00:00,synthetic,synthetic_load,24,42,timesfm,1.099543575083839
2020-02-10 02:00:00,synthetic,synthetic_load,24,42,timesfm,1.0656881210185063
2020-02-10 03:00:00,synthetic,synthetic_load,24,42,timesfm,1.096096316359758
2020-02-10 04:00:00,synthetic,synthetic_load,24,42,timesfm,1.145662168989676
2020-02-10 05:00:00,synthetic,synthetic_load,24,42,timesfm,1.2052861810408764
2020-02-10 06:00:00,synthetic,synthetic_load,24,42,timesfm,1.1124747551334753
2020-02-10 07:00:00,synthetic,synthetic_load,24,42,timesfm,1.1987813378218959
2020-02-10 08:00:00,synthetic,synthetic_load,24,42,timesfm,1.4097892981286428
2020-02-10 09:00:00,synthetic,synthetic_load,24,42,timesfm,1.4529338928733513
2020-02-10 10:00:00,synthetic,synthetic_load,24,42,timesfm,1.430058601878244
2020-02-10 11:00:00,synthetic,synthetic_load,24,42,timesfm,1.4672127149834584
2020-02-10 12:00:00,synthetic,synthetic_load,24,42,timesfm,1.5429830745056397
2020-02-10 13:00:00,synthetic,synthetic_load,24,42,timesfm,1.5416567422061789
2020-02-10 14:00:00,synthetic,synthetic_load,24,42,timesfm,1.4094985878225341
