model,dataset,target,horizon,seed,MAE,RMSE,sMAPE,wMAPE,MSE,train_time_s,inference_ms,n_params,peak_gpu_mb
seasonal_naive,ecl,aggregate_load,24,42,338935.8969390353,428088.8171841519,39.976022778172776,38.6883251374621,183260035398.12625,4.345599882071838e-05,0.0018590229093008693,0,0.0
xgboost,ecl,aggregate_load,24,42,259541.73621503086,306548.3349215574,31.32497538456861,29.625764541649197,93971881643.17934,2.9100708260011743,0.013915406452446896,0,0.0
xgboost,ecl,aggregate_load,24,43,259573.07226575655,306574.3985685321,31.328438760231414,29.629341440201244,93987861857.65715,2.981035819000681,0.014805144711644331,0,0.0
xgboost,ecl,aggregate_load,24,44,259539.29005283237,306538.41583459656,31.325212662930426,29.625485320948975,93965800382.38405,2.7365074200024537,0.011650786941716848,0,0.0
xgboost,ecl,aggregate_load,24,45,259545.20657245922,306575.3623056434,31.325989707684858,29.6261606705861,93988452772.83652,2.7914543699989736,0.013466034745873302,0,0.0
xgboost,ecl,aggregate_load,24,46,259547.6015710715,306579.4531490946,31.325967999850135,29.626434051145228,93990961093.19789,2.811506529000326,0.01530959831982263,0,0.0
seasonal_naive,ecl,aggregate_load,96,42,340658.82101319527,428618.3208884466,40.127731872845374,38.958892671963916,183713665001.23138,4.1371000406797975e-05,0.0031266715060334067,0,0.0
xgboost,ecl,aggregate_load,96,42,261794.13359784128,308905.32781623636,31.628920777995678,29.9396608097608,95422501553.25645,10.805060912000044,0.04943219144400499,0,0.0
xgboost,ecl,aggregate_load,96,43,261789.3212344104,308894.07978600136,31.62801147743421,29.93911045163461,95415552526.84058,10.667731908997666,0.05019807878445552,0,0.0
xgboost,ecl,aggregate_load,96,44,261808.0987892855,308945.22109496273,31.629942777210964,29.941257916194154,95447149637.4154,11.010370143998443,0.04675291734421959,0,0.0
xgboost,ecl,aggregate_load,96,45,261785.12907329158,308877.76042382687,31.627856557237223,29.93863102193834,95405470884.439,10.673296642999048,0.047591387146313724,0,0.0
xgboost,ecl,aggregate_load,96,46,261786.197248801,308912.0101379488,31.6274848150824,29.93875318209524,95426630007.46819,10.850958957998955,0.054472214092250906,0,0.0
seasonal_naive,ecl,aggregate_load,168,42,343510.1715685587,431537.72405627824,40.476061842452026,39.39053540979638,186224807283.67255,4.288899799576029e-05,0.003552002158991762,0,0.0
xgboost,ecl,aggregate_load,168,42,264215.99012540496,311137.737852988,31.958217106925304,30.29781990834584,96806691916.2747,18.972151394998946,0.1072407530423332,0,0.0
xgboost,ecl,aggregate_load,168,43,264226.0118526566,311152.2788052896,31.958997729920252,30.29896910634592,96815740605.72466,18.61953267699937,0.09964635708700872,0,0.0
xgboost,ecl,aggregate_load,168,44,264254.5466314695,311191.69373053714,31.96191073894255,30.30224120804267,96840270246.88043,19.48132921100114,0.08955222359602336,0,0.0
xgboost,ecl,aggregate_load,168,45,264185.2960070265,311079.263116027,31.955235905851765,30.294300193772795,96770307940.81036,19.117257836001954,0.08310575480931107,0,0.0
xgboost,ecl,aggregate_load,168,46,264222.9584260995,311166.86270031054,31.958278139167785,30.298618967931183,96824816442.7539,18.819662457997765,0.08188834118565606,0,0.0
seasonal_naive,etth1,HUFL,24,42,3.312264161981741,5.4443184749380755,46.0687929290298,32.78003995826225,29.640603656552056,4.0088001696858555e-05,0.0021108082356305785,0,0.0
xgboost,etth1,HUFL,24,42,3.8901301961352055,5.3988092795264935,57.45811792632687,38.4989291421309,29.147141636701374,2.296675409001182,0.01135643032166783,0,0.0
xgboost,etth1,HUFL,24,43,3.900373284000311,5.408662522882076,57.55757191990364,38.60030053435502,29.2536302864291,2.267970217002585,0.014162338608164939,0,0.0
xgboost,etth1,HUFL,24,44,3.8900884866613135,5.405693410848823,57.48962672233001,38.498516361581416,29.221521252094377,2.2969544579973444,0.011782111281028346,0,0.0
xgboost,etth1,HUFL,24,45,3.8834418508898554,5.392371101630193,57.344851099720884,38.432737493857886,29.077666097696422,2.155414491000556,0.011216284498747339,0,0.0
xgboost,etth1,HUFL,24,46,3.8876409204542055,5.404771650566116,57.48549877394195,38.474293861760785,29.211556594763174,2.322828844000469,0.012327634337070674,0,0.0
seasonal_naive,etth1,HUFL,96,42,3.924425973031994,6.407727834953282,51.69752748302952,38.80075895930466,41.058976006835074,3.54430012521334e-05,0.0034835290266132714,0,0.0
xgboost,etth1,HUFL,96,42,4.209956724427755,5.866395491905097,61.173864514701,41.623798541783174,34.41459606744444,8.422411685998668,0.0515777338499225,0,0.0
xgboost,etth1,HUFL,96,43,4.217451409656444,5.87324807951386,61.252319078464836,41.69789841703437,34.495043003513246,8.503094290001172,0.04760615745056272,0,0.0
xgboost,etth1,HUFL,96,44,4.212369223366966,5.865365326904417,61.22286705091804,41.64765089381456,34.40251041805256,8.779743587001576,0.052011415504267466,0,0.0
xgboost,etth1,HUFL,96,45,4.20233885564738,5.850709727759342,61.17234438025502,41.54848075203198,34.230804318497796,8.661882980999508,0.046669061843522014,0,0.0
xgboost,etth1,HUFL,96,46,4.211596112051519,5.868327749650258,61.23258634830019,41.640007150244045,34.43727057731526,9.067577085999801,0.046355035659124307,0,0.0
seasonal_naive,etth1,HUFL,168,42,4.180376351874045,6.698292580284449,54.20220365940088,41.263909140505135,44.86712349109371,3.331500192871317e-05,0.003811623931207296,0,0.0
xgboost,etth1,HUFL,168,42,4.269439738341192,5.987241204504461,61.49659110115275,42.1430413471732,35.84705724091604,15.072410759999912,0.07766618315015256,0,0.0
xgboost,etth1,HUFL,168,43,4.27771793641123,5.990166550924303,61.604706808144726,42.22475428023389,35.882095307812364,14.316007639998134,0.08823023966481938,0,0.0
