origin,dataset,target,horizon,seed,model,abs_error
2020-02-09 22:00:00,synthetic,synthetic_load,24,42,dlinear,5.752508030526713
2020-02-09 23:00:00,synthetic,synthetic_load,24,42,dlinear,5.291420192728059
2020-02-10 00:00:00,synthetic,synthetic_load,24,42,dlinear,5.200381024743398
2020-02-10 01:00:00,synthetic,synthetic_load,24,42,dlinear,5.14023478799783
2020-02-10 02:00:00,synthetic,synthetic_load,24,42,dlinear,5.205346751085155
2020-02-10 03:00:00,synthetic,synthetic_load,24,42,dlinear,4.814290609576912
2020-02-10 04:00:00,synthetic,synthetic_load,24,42,dlinear,5.234707568086859
2020-02-10 05:00:00,synthetic,synthetic_load,24,42,dlinear,6.007055674381758
2020-02-10 06:00:00,synthetic,synthetic_load,24,42,dlinear,5.66857214549335
2020-02-10 07:00:00,synthetic,synthetic_load,24,42,dlinear,5.849407720448942
2020-02-10 08:00:00,synthetic,synthetic_load,24,42,dlinear,6.815423533763574
2020-02-10 09:00:00,synthetic,synthetic_load,24,42,dlinear,6.537217340077997
2020-02-10 10:00:00,synthetic,synthetic_load,24,42,dlinear,6.254865877855383
2020-02-10 11:00:00,synthetic,synthetic_load,24,42,dlinear,6.1176536296386415
2020-02-10 12:00:00,synthetic,synthetic_load,24,42,dlinear,5.669543720420215
2020-02-10 13:00:00,synthetic,synthetic_load,24,42,dlinear,5.663365812061141
2020-02-10 14:00:00,synthetic,synthetic_load,24,42,dlinear,5.863420354257374
2020-02-10 15:00:00,synthetic,synthetic_load,24,42,dlinear,6.173814450511149
2020-02-10 16:00:00,synthetic,synthetic_load,24,42,dlinear,5.299748299791126
2020-02-10 17:00:00,synthetic,synthetic_load,24,42,dlinear,5.485903652501203
2020-02-10 18:00:00,synthetic,synthetic_load,24,42,dlinear,5.440039919238735
2020-02-10 19:00:00,synthetic,synthetic_load,24,42,dlinear,5.707059367884035
2020-02-10 20:00:00,synthetic,synthetic_load,24,42,dlinear,5.304838026243991
2020-02-10 21:00:00,synthetic,synthetic_load,24,42,dlinear,5.551016350114999
2020-02-10 22:00:00,synthetic,synthetic_load,24,42,dlinear,5.548082371202917
2020-02-10 23:00:00,synthetic,synthetic_load,24,42,dlinear,5.152095338930476
2020-02-11 00:00:00,synthetic,synthetic_load,24,42,dlinear,5.1942898461677345
2020-02-11 01:00:00,synthetic,synthetic_load,24,42,dlinear,5.263892321268784
2020-02-11 02:00:00,synthetic,synthetic_load,24,42,dlinear,4.9840079883236745
2020-02-11 03:00:00,synthetic,synthetic_load,24,42,dlinear,5.416658940847671
2020-02-11 04:00:00,synthetic,synthetic_load,24,42,dlinear,4.8261807119028655
2020-02-11 05:00:00,synthetic,synthetic_load,24,42,dlinear,4.875761261581
2020-02-11 06:00:00,synthetic,synthetic_load,24,42,dlinear,5.190226478002898
2020-02-11 07:00:00,synthetic,synthetic_load,24,42,dlinear,5.519293919405061
2020-02-11 08:00:00,synthetic,synthetic_load,24,42,dlinear,5.314584249799681
2020-02-11 09:00:00,synthetic,synthetic_load,24,42,dlinear,5.308384382490407
2020-02-11 10:00:00,synthetic,synthetic_load,24,42,dlinear,4.8728240527579825
2020-02-11 11:00:00,synthetic,synthetic_load,24,42,dlinear,4.599959537781633
2020-02-11 12:00:00,synthetic,synthetic_load,24,42,dlinear,4.288233205353507
2020-02-11 13:00:00,synthetic,synthetic_load,24,42,dlinear,4.150392533425376
2020-02-11 14:00:00,synthetic,synthetic_load,24,42,dlinear,4.096622942439196
2020-02-11 15:00:00,synthetic,synthetic_load,24,42,dlinear,3.764128721710128
2020-02-11 16:00:00,synthetic,synthetic_load,24,42,dlinear,3.9512332552695386
2020-02-11 17:00:00,synthetic,synthetic_load,24,42,dlinear,4.080428574863737
2020-02-11 18:00:00,synthetic,synthetic_load,24,42,dlinear,4.500423133005277
2020-02-11 19:00:00,synthetic,synthetic_load,24,42,dlinear,4.969506361778435
2020-02-11 20:00:00,synthetic,synthetic_load,24,42,dlinear,5.267706630177783
2020-02-11 21:00:00,synthetic,synthetic_load,24,42,dlinear,4.926276244181684
2020-02-11 22:00:00,synthetic,synthetic_load,24,42,dlinear,4.7961942062255085
2020-02-11 23:00:00,synthetic,synthetic_load,24,42,dlinear,4.912522945973627
2020-02-12 00:00:00,synthetic,synthetic_load,24,42,dlinear,4.620093402908086
2020-02-12 01:00:00,synthetic,synthetic_load,24,42,dlinear,4.889023760726325
2020-02-12 02:00:00,synthetic,synthetic_load,24,42,dlinear,4.586015997514939
2020-02-12 03:00:00,synthetic,synthetic_load,24,42,dlinear,4.415297800335611
2020-02-12 04:00:00,synthetic,synthetic_load,24,42,dlinear,4.389792442047224
2020-02-12 05:00:00,synthetic,synthetic_load,24,42,dlinear,4.29557933062486
2020-02-12 06:00:00,synthetic,synthetic_load,24,42,dlinear,4.702565359181389
2020-02-12 07:00:00,synthetic,synthetic_load,24,42,dlinear,5.344003372960333
2020-02-12 08:00:00,synthetic,synthetic_load,24,42,dlinear,5.798209813263206
2020-02-12 09:00:00,synthetic,synthetic_load,24,42,dlinear,5.481248409581089
2020-02-12 10:00:00,synthetic,synthetic_load,24,42,dlinear,4.548718802712291
2020-02-12 11:00:00,synthetic,synthetic_load,24,42,dlinear,4.5447795576307595
2020-02-12 12:00:00,synthetic,synthetic_load,24,42,dlinear,4.609730834286105
2020-02-12 13:00:00,synthetic,synthetic_load,24,42,dlinear,3.9235334555841828
2020-02-12 14:00:00,synthetic,synthetic_load,24,42,dlinear,3.860690310420296
2020-02-12 15:00:00,synthetic,synthetic_load,24,42,dlinear,3.630417248168955
2020-02-12 16:00:00,synthetic,synthetic_load,24,42,dlinear,4.406470591156868
2020-02-12 17:00:00,synthetic,synthetic_load,24,42,dlinear,4.480043086088393
2020-02-12 18:00:00,synthetic,synthetic_load,24,42,dlinear,4.806547413716191
2020-02-12 19:00:00,synthetic,synthetic_load,24,42,dlinear,5.317145889189654
2020-02-12 20:00:00,synthetic,synthetic_load,24,42,dlinear,5.677269884441024
2020-02-12 21:00:00,synthetic,synthetic_load,24,42,dlinear,5.750054204647025
2020-02-12 22:00:00,synthetic,synthetic_load,24,42,dlinear,5.128749779084586
2020-02-12 23:00:00,synthetic,synthetic_load,24,42,dlinear,5.341865545263848
2020-02-13 00:00:00,synthetic,synthetic_load,24,42,dlinear,4.966386692847505
2020-02-13 01:00:00,synthetic,synthetic_load,24,42,dlinear,4.7921034706699315
2020-02-13 02:00:00,synthetic,synthetic_load,24,42,dlinear,4.670857366548113
2020-02-13 03:00:00,synthetic,synthetic_load,24,42,dlinear,4.630603535773806
2020-02-13 04:00:00,synthetic,synthetic_load,24,42,dlinear,4.372707533227042
2020-02-13 05:00:00,synthetic,synthetic_load,24,42,dlinear,5.132862642977527
2020-02-13 06:00:00,synthetic,synthetic_load,24,42,dlinear,5.7249092090924085
2020-02-13 07:00:00,synthetic,synthetic_load,24,42,dlinear,5.964322833279394
2020-02-13 08:00:00,synthetic,synthetic_load,24,42,dlinear,5.716162776253637
2020-02-13 09:00:00,synthetic,synthetic_load,24,42,dlinear,5.329121652591339
2020-02-13 10:00:00,synthetic,synthetic_load,24,42,dlinear,4.988864331856223
2020-02-13 11:00:00,synthetic,synthetic_load,24,42,dlinear,4.644548117272995
2020-02-13 12:00:00,synthetic,synthetic_load,24,42,dlinear,4.142439853641928
2020-02-13 13:00:00,synthetic,synthetic_load,24,42,dlinear,3.7799967170946664
2020-02-13 14:00:00,synthetic,synthetic_load,24,42,dlinear,4.32675579322076
2020-02-13 15:00:00,synthetic,synthetic_load,24,42,dlinear,3.800899247738011
2020-02-13 16:00:00,synthetic,synthetic_load,24,42,dlinear,4.5493207662713235
2020-02-13 17:00:00,synthetic,synthetic_load,24,42,dlinear,4.774429647718034
2020-02-13 18:00:00,synthetic,synthetic_load,24,42,dlinear,5.674875628739144
2020-02-13 19:00:00,synthetic,synthetic_load,24,42,dlinear,5.784976905421023
2020-02-13 20:00:00,synthetic,synthetic_load,24,42,dlinear,6.053402170719957
2020-02-13 21:00:00,synthetic,synthetic_load,24,42,dlinear,4.945514814606423
2020-02-13 22:00:00,synthetic,synthetic_load,24,42,dlinear,4.9746942056825585
2020-02-13 23:00:00,synthetic,synthetic_load,24,42,dlinear,5.044719235393118
2020-02-14 00:00:00,synthetic,synthetic_load,24,42,dlinear,5.010951735043422
2020-02-14 01:00:00,synthetic,synthetic_load,24,42,dlinear,4.202004316634359
2020-02-14 02:00:00,synthetic,synthetic_load,24,42,dlinear,4.703869524185403
2020-02-14 03:00:00,synthetic,synthetic_load,24,42,dlinear,4.752891493833184
2020-02-14 04:00:00,synthetic,synthetic_load,24,42,dlinear,4.528187084689538
2020-02-14 05:00:00,synthetic,synthetic_load,24,42,dlinear,5.297676176936739
2020-02-14 06:00:00,synthetic,synthetic_load,24,42,dlinear,5.829069114478462
2020-02-14 07:00:00,synthetic,synthetic_load,24,42,dlinear,6.005451591311698
2020-02-14 08:00:00,synthetic,synthetic_load,24,42,dlinear,5.674122276492294
2020-02-14 09:00:00,synthetic,synthetic_load,24,42,dlinear,5.80914001938682
2020-02-14 10:00:00,synthetic,synthetic_load,24,42,dlinear,6.003269217968028
2020-02-14 11:00:00,synthetic,synthetic_load,24,42,dlinear,5.612083031328548
2020-02-14 12:00:00,synthetic,synthetic_load,24,42,dlinear,4.854549340027032
2020-02-14 13:00:00,synthetic,synthetic_load,24,42,dlinear,4.596030759878357
2020-02-14 14:00:00,synthetic,synthetic_load,24,42,dlinear,4.673487314054388
2020-02-14 15:00:00,synthetic,synthetic_load,24,42,dlinear,4.650372709245722
2020-02-14 16:00:00,synthetic,synthetic_load,24,42,dlinear,5.027599265711021
2020-02-14 17:00:00,synthetic,synthetic_load,24,42,dlinear,4.782772863222615
2020-02-14 18:00:00,synthetic,synthetic_load,24,42,dlinear,5.367698015502991
2020-02-14 19:00:00,synthetic,synthetic_load,24,42,dlinear,5.490606807713307
2020-02-14 20:00:00,synthetic,synthetic_load,24,42,dlinear,4.985094596977221
2020-02-14 21:00:00,synthetic,synthetic_load,24,42,dlinear,4.571770376011263
2020-02-14 22:00:00,synthetic,synthetic_load,24,42,dlinear,4.655039702540831
2020-02-14 23:00:00,synthetic,synthetic_load,24,42,dlinear,4.509678929957446
2020-02-15 00:00:00,synthetic,synthetic_load,24,42,dlinear,4.350714732006772
2020-02-15 01:00:00,synthetic,synthetic_load,24,42,dlinear,4.425262790391084
2020-02-15 02:00:00,synthetic,synthetic_load,24,42,dlinear,3.7778864314866656
2020-02-15 03:00:00,synthetic,synthetic_load,24,42,dlinear,3.4149468171317583
2020-02-15 04:00:00,synthetic,synthetic_load,24,42,dlinear,4.4857553479390875
2020-02-15 05:00:00,synthetic,synthetic_load,24,42,dlinear,4.863240966654845
2020-02-15 06:00:00,synthetic,synthetic_load,24,42,dlinear,5.56438597222058
2020-02-15 07:00:00,synthetic,synthetic_load,24,42,dlinear,6.228308671405017
2020-02-15 08:00:00,synthetic,synthetic_load,24,42,dlinear,6.214120711497762
2020-02-15 09:00:00,synthetic,synthetic_load,24,42,dlinear,6.195344381974579
2020-02-15 10:00:00,synthetic,synthetic_load,24,42,dlinear,6.307395036067451
2020-02-15 11:00:00,synthetic,synthetic_load,24,42,dlinear,6.404975280407129
2020-02-15 12:00:00,synthetic,synthetic_load,24,42,dlinear,6.16749598353131
2020-02-15 13:00:00,synthetic,synthetic_load,24,42,dlinear,5.669956008584395
2020-02-15 14:00:00,synthetic,synthetic_load,24,42,dlinear,5.580319959652125
2020-02-15 15:00:00,synthetic,synthetic_load,24,42,dlinear,5.912731969334999
2020-02-15 16:00:00,synthetic,synthetic_load,24,42,dlinear,5.9051266141462975
2020-02-15 17:00:00,synthetic,synthetic_load,24,42,dlinear,6.270289008468154
2020-02-15 18:00:00,synthetic,synthetic_load,24,42,dlinear,6.006329370874956
2020-02-15 19:00:00,synthetic,synthetic_load,24,42,dlinear,6.140127195672972
2020-02-15 20:00:00,synthetic,synthetic_load,24,42,dlinear,6.047218154195515
2020-02-15 21:00:00,synthetic,synthetic_load,24,42,dlinear,5.58894705906463
2020-02-15 22:00:00,synthetic,synthetic_load,24,42,dlinear,5.99501125809828
2020-02-15 23:00:00,synthetic,synthetic_load,24,42,dlinear,5.142028730994836
2020-02-16 00:00:00,synthetic,synthetic_load,24,42,dlinear,5.666606821702668
2020-02-16 01:00:00,synthetic,synthetic_load,24,42,dlinear,4.846065695619415
2020-02-16 02:00:00,synthetic,synthetic_load,24,42,dlinear,5.03284996140036
2020-02-16 03:00:00,synthetic,synthetic_load,24,42,dlinear,5.07673213718709
2020-02-16 04:00:00,synthetic,synthetic_load,24,42,dlinear,5.603270210981964
2020-02-16 05:00:00,synthetic,synthetic_load,24,42,dlinear,5.952473209060291
2020-02-16 06:00:00,synthetic,synthetic_load,24,42,dlinear,5.840123641775029
2020-02-16 07:00:00,synthetic,synthetic_load,24,42,dlinear,6.685986526921226
2020-02-16 08:00:00,synthetic,synthetic_load,24,42,dlinear,7.057553063459111
2020-02-16 09:00:00,synthetic,synthetic_load,24,42,dlinear,7.130814239491591
2020-02-16 10:00:00,synthetic,synthetic_load,24,42,dlinear,6.869362160930689
2020-02-16 11:00:00,synthetic,synthetic_load,24,42,dlinear,7.064487016603621
2020-02-16 12:00:00,synthetic,synthetic_load,24,42,dlinear,6.453971132000436
2020-02-16 13:00:00,synthetic,synthetic_load,24,42,dlinear,6.080717177735818
2020-02-16 14:00:00,synthetic,synthetic_load,24,42,dlinear,5.738670831654424
2020-02-16 15:00:00,synthetic,synthetic_load,24,42,dlinear,6.230427266105521
2020-02-16 16:00:00,synthetic,synthetic_load,24,42,dlinear,6.670466605767655
2020-02-16 17:00:00,synthetic,synthetic_load,24,42,dlinear,7.003710116073205
2020-02-16 18:00:00,synthetic,synthetic_load,24,42,dlinear,6.252443977677675
2020-02-16 19:00:00,synthetic,synthetic_load,24,42,dlinear,6.067903141342254
2020-02-16 20:00:00,synthetic,synthetic_load,24,42,dlinear,6.264245494521208
2020-02-16 21:00:00,synthetic,synthetic_load,24,42,dlinear,5.8213645001476975
2020-02-16 22:00:00,synthetic,synthetic_load,24,42,dlinear,5.745069962320794
2020-02-16 23:00:00,synthetic,synthetic_load,24,42,dlinear,5.567262687661237
2020-02-17 00:00:00,synthetic,synthetic_load,24,42,dlinear,5.229565019885341
2020-02-17 01:00:00,synthetic,synthetic_load,24,42,dlinear,5.052379676885429
2020-02-17 02:00:00,synthetic,synthetic_load,24,42,dlinear,5.828094928658747
2020-02-17 03:00:00,synthetic,synthetic_load,24,42,dlinear,5.722907725543451
2020-02-17 04:00:00,synthetic,synthetic_load,24,42,dlinear,6.1767783160667635
2020-02-17 05:00:00,synthetic,synthetic_load,24,42,dlinear,6.622083530555254
2020-02-17 06:00:00,synthetic,synthetic_load,24,42,dlinear,6.548313635325211
2020-02-17 07:00:00,synthetic,synthetic_load,24,42,dlinear,6.536068157803527
2020-02-17 08:00:00,synthetic,synthetic_load,24,42,dlinear,6.387914485637707
2020-02-17 09:00:00,synthetic,synthetic_load,24,42,dlinear,6.431424490430814
2020-02-17 10:00:00,synthetic,synthetic_load,24,42,dlinear,6.051390681442487
2020-02-17 11:00:00,synthetic,synthetic_load,24,42,dlinear,6.201640406045921
2020-02-17 12:00:00,synthetic,synthetic_load,24,42,dlinear,5.34574761052577
2020-02-17 13:00:00,synthetic,synthetic_load,24,42,dlinear,5.280156200095555
2020-02-17 14:00:00,synthetic,synthetic_load,24,42,dlinear,5.652580739002303
2020-02-17 15:00:00,synthetic,synthetic_load,24,42,dlinear,5.551575035916422
