origin,dataset,target,horizon,seed,model,abs_error
2020-03-24 07:00:00,synthetic,synthetic_load,24,42,xgboost,1.988144033472631
2020-03-24 08:00:00,synthetic,synthetic_load,24,42,xgboost,1.5393084788764206
2020-03-24 09:00:00,synthetic,synthetic_load,24,42,xgboost,1.4684565127394051
2020-03-24 10:00:00,synthetic,synthetic_load,24,42,xgboost,1.4521031868310157
2020-03-24 11:00:00,synthetic,synthetic_load,24,42,xgboost,1.4933240680012485
2020-03-24 12:00:00,synthetic,synthetic_load,24,42,xgboost,1.4685139435107601
2020-03-24 13:00:00,synthetic,synthetic_load,24,42,xgboost,1.469366403331567
2020-03-24 14:00:00,synthetic,synthetic_load,24,42,xgboost,1.6992991353768503
2020-03-24 15:00:00,synthetic,synthetic_load,24,42,xgboost,1.474990916034707
2020-03-24 16:00:00,synthetic,synthetic_load,24,42,xgboost,1.4646699117190078
2020-03-24 17:00:00,synthetic,synthetic_load,24,42,xgboost,1.6293517228087453
2020-03-24 18:00:00,synthetic,synthetic_load,24,42,xgboost,1.4257736318169048
2020-03-24 19:00:00,synthetic,synthetic_load,24,42,xgboost,1.7794808724132636
2020-03-24 20:00:00,synthetic,synthetic_load,24,42,xgboost,1.3237405409155745
2020-03-24 21:00:00,synthetic,synthetic_load,24,42,xgboost,1.413865342391457
2020-03-24 22:00:00,synthetic,synthetic_load,24,42,xgboost,1.2231703375327878
2020-03-24 23:00:00,synthetic,synthetic_load,24,42,xgboost,1.2600379456365953
2020-03-25 00:00:00,synthetic,synthetic_load,24,42,xgboost,1.5442477982823053
2020-03-25 01:00:00,synthetic,synthetic_load,24,42,xgboost,1.2286253287076807
2020-03-25 02:00:00,synthetic,synthetic_load,24,42,xgboost,1.5322771736937284
2020-03-25 03:00:00,synthetic,synthetic_load,24,42,xgboost,1.3985593147440174
2020-03-25 04:00:00,synthetic,synthetic_load,24,42,xgboost,1.4319715917065878
2020-03-25 05:00:00,synthetic,synthetic_load,24,42,xgboost,1.2441599345864016
2020-03-25 06:00:00,synthetic,synthetic_load,24,42,xgboost,1.3990083737088377
2020-03-25 07:00:00,synthetic,synthetic_load,24,42,xgboost,1.2975925658836474
2020-03-25 08:00:00,synthetic,synthetic_load,24,42,xgboost,1.2568340535119624
2020-03-25 09:00:00,synthetic,synthetic_load,24,42,xgboost,1.407178236917878
2020-03-25 10:00:00,synthetic,synthetic_load,24,42,xgboost,1.5742100913528407
2020-03-25 11:00:00,synthetic,synthetic_load,24,42,xgboost,1.518179965574322
2020-03-25 12:00:00,synthetic,synthetic_load,24,42,xgboost,1.3877557996201382
2020-03-25 13:00:00,synthetic,synthetic_load,24,42,xgboost,1.4148011199566597
2020-03-25 14:00:00,synthetic,synthetic_load,24,42,xgboost,1.4719863053081326
2020-03-25 15:00:00,synthetic,synthetic_load,24,42,xgboost,1.2635333177614918
2020-03-25 16:00:00,synthetic,synthetic_load,24,42,xgboost,1.5298198672906196
2020-03-25 17:00:00,synthetic,synthetic_load,24,42,xgboost,1.599865669701181
2020-03-25 18:00:00,synthetic,synthetic_load,24,42,xgboost,1.685133399557684
2020-03-25 19:00:00,synthetic,synthetic_load,24,42,xgboost,1.5331595920797618
2020-03-25 20:00:00,synthetic,synthetic_load,24,42,xgboost,1.6225850651913138
2020-03-25 21:00:00,synthetic,synthetic_load,24,42,xgboost,1.4765625886430034
2020-03-25 22:00:00,synthetic,synthetic_load,24,42,xgboost,1.7616841241973404
2020-03-25 23:00:00,synthetic,synthetic_load,24,42,xgboost,1.653775093044241
2020-03-26 00:00:00,synthetic,synthetic_load,24,42,xgboost,1.8032625745338187
2020-03-26 01:00:00,synthetic,synthetic_load,24,42,xgboost,1.5908917589993454
2020-03-26 02:00:00,synthetic,synthetic_load,24,42,xgboost,1.6713596044514076
2020-03-26 03:00:00,synthetic,synthetic_load,24,42,xgboost,1.5337916489537395
2020-03-26 04:00:00,synthetic,synthetic_load,24,42,xgboost,1.519649456233796
2020-03-26 05:00:00,synthetic,synthetic_load,24,42,xgboost,1.3703792981212974
2020-03-26 06:00:00,synthetic,synthetic_load,24,42,xgboost,1.4333291827366625
2020-03-26 07:00:00,synthetic,synthetic_load,24,42,xgboost,1.4162295909349776
2020-03-26 08:00:00,synthetic,synthetic_load,24,42,xgboost,1.215389897659944
2020-03-26 09:00:00,synthetic,synthetic_load,24,42,xgboost,1.3344793292150108
2020-03-26 10:00:00,synthetic,synthetic_load,24,42,xgboost,1.7643339670156994
2020-03-26 11:00:00,synthetic,synthetic_load,24,42,xgboost,1.4928949017847348
2020-03-26 12:00:00,synthetic,synthetic_load,24,42,xgboost,1.9669269200128365
2020-03-26 13:00:00,synthetic,synthetic_load,24,42,xgboost,1.5673966147399305
2020-03-26 14:00:00,synthetic,synthetic_load,24,42,xgboost,1.5884082998032205
2020-03-26 15:00:00,synthetic,synthetic_load,24,42,xgboost,1.4000913573991969
2020-03-26 16:00:00,synthetic,synthetic_load,24,42,xgboost,1.2510449393389778
2020-03-26 17:00:00,synthetic,synthetic_load,24,42,xgboost,1.3277319549672295
2020-03-26 18:00:00,synthetic,synthetic_load,24,42,xgboost,1.2414435241350923
2020-03-26 19:00:00,synthetic,synthetic_load,24,42,xgboost,1.3939233915935485
2020-03-26 20:00:00,synthetic,synthetic_load,24,42,xgboost,1.4152067122527558
2020-03-26 21:00:00,synthetic,synthetic_load,24,42,xgboost,1.5108249982694677
2020-03-26 22:00:00,synthetic,synthetic_load,24,42,xgboost,1.143312449289957
2020-03-26 23:00:00,synthetic,synthetic_load,24,42,xgboost,1.5008507548291998
2020-03-27 00:00:00,synthetic,synthetic_load,24,42,xgboost,1.2004260080687057
